"V1" "V2"
"tr_1_pm_1_1.fasta" -9.04815720140824 2.00104159050196
"tr_1_pm_1_10.fasta" -9.22598473149519 1.99491965707826
"tr_1_pm_1_11.fasta" -10.6597488090225 2.75627881784403
"tr_1_pm_1_12.fasta" -10.6192126094114 2.74150495650389
"tr_1_pm_1_13.fasta" -10.6671656184404 2.75544888769006
"tr_1_pm_1_14.fasta" -9.04815720140825 2.00104159050196
"tr_1_pm_1_15.fasta" -9.04815720140825 2.00104159050195
"tr_1_pm_1_16.fasta" -9.42289100510104 2.03066889881699
"tr_1_pm_1_17.fasta" -9.04815720140825 2.00104159050195
"tr_1_pm_1_18.fasta" -9.42289100510104 2.03066889881699
"tr_1_pm_1_19.fasta" -9.27389578871118 3.21273267836983
"tr_1_pm_1_2.fasta" -9.04815720140825 2.00104159050195
"tr_1_pm_1_20.fasta" -9.42289100510104 2.03066889881699
"tr_1_pm_1_21.fasta" -9.04815720140825 2.00104159050195
"tr_1_pm_1_22.fasta" -7.86762542886575 3.5446329567414
"tr_1_pm_1_23.fasta" -8.85865217707578 1.96623408413969
"tr_1_pm_1_24.fasta" -10.2998153766648 2.74134407451884
"tr_1_pm_1_25.fasta" -7.86762542886575 3.5446329567414
"tr_1_pm_1_26.fasta" -9.04815720140825 2.00104159050195
"tr_1_pm_1_27.fasta" -9.27665810360287 3.21420330781708
"tr_1_pm_1_28.fasta" -9.04815720140825 2.00104159050195
"tr_1_pm_1_29.fasta" -10.0453471079007 2.71934076831477
"tr_1_pm_1_3.fasta" -9.21623894350934 1.99466884469426
"tr_1_pm_1_30.fasta" -9.04815720140825 2.00104159050195
"tr_1_pm_1_31.fasta" -10.621687196677 2.75554422545918
"tr_1_pm_1_32.fasta" -9.42289100510103 2.03066889881699
"tr_1_pm_1_33.fasta" -8.16271818199312 3.71392458317247
"tr_1_pm_1_34.fasta" -7.86762542886574 3.54463295674141
"tr_1_pm_1_35.fasta" -8.28523312129936 3.27818796349962
"tr_1_pm_1_36.fasta" -9.04815720140826 2.00104159050195
"tr_1_pm_1_37.fasta" -9.04815720140826 2.00104159050195
"tr_1_pm_1_38.fasta" -10.6167063846324 2.73917576978759
"tr_1_pm_1_39.fasta" -8.28523312129936 3.27818796349962
"tr_1_pm_1_4.fasta" -9.42895761632661 2.03045480344862
"tr_1_pm_1_40.fasta" -8.57776074873656 3.41793432807019
"tr_1_pm_1_41.fasta" -8.85865217707576 1.96623408413968
"tr_1_pm_1_42.fasta" -10.6671656184404 2.75544888769004
"tr_1_pm_1_43.fasta" -9.42895761632661 2.03045480344863
"tr_1_pm_1_44.fasta" -9.04815720140826 2.00104159050195
"tr_1_pm_1_45.fasta" -9.42895761632662 2.03045480344863
"tr_1_pm_1_46.fasta" -7.86762542886574 3.54463295674141
"tr_1_pm_1_47.fasta" -9.04815720140827 2.00104159050195
"tr_1_pm_1_48.fasta" -9.04815720140827 2.00104159050196
"tr_1_pm_1_49.fasta" -9.04815720140828 2.00104159050196
"tr_1_pm_1_5.fasta" -10.6673295093111 2.75468833914306
"tr_1_pm_1_50.fasta" -9.58377145313486 -0.539649644776054
"tr_1_pm_1_6.fasta" -10.6673295093111 2.75468833914307
"tr_1_pm_1_7.fasta" -10.6671656184404 2.75544888769004
"tr_1_pm_1_8.fasta" -8.85865217707576 1.96623408413969
"tr_1_pm_1_9.fasta" -8.16271818199314 3.71392458317248
"tr_1_pm_2_1.fasta" -7.86762542886575 3.54463295674141
"tr_1_pm_2_10.fasta" -9.84485826278404 1.40328014964103
"tr_1_pm_2_11.fasta" -10.6673295093111 2.75468833914307
"tr_1_pm_2_12.fasta" -10.6167063846324 2.73917576978759
"tr_1_pm_2_13.fasta" -9.42289100510106 2.03066889881699
"tr_1_pm_2_14.fasta" -9.04815720140827 2.00104159050196
"tr_1_pm_2_15.fasta" -10.6167063846324 2.73917576978759
"tr_1_pm_2_16.fasta" -9.42895761632661 2.03045480344863
"tr_1_pm_2_17.fasta" -8.85865217707575 1.96623408413969
"tr_1_pm_2_18.fasta" -10.2998153766648 2.74134407451884
"tr_1_pm_2_19.fasta" -8.35140977173908 2.15010886865893
"tr_1_pm_2_2.fasta" -9.42895761632661 2.03045480344863
"tr_1_pm_2_20.fasta" -10.3067503766823 2.77286018293776
"tr_1_pm_2_21.fasta" -8.85865217707575 1.96623408413969
"tr_1_pm_2_22.fasta" -10.6611303681592 2.7568014215623
"tr_1_pm_2_23.fasta" -9.42895761632662 2.03045480344863
"tr_1_pm_2_24.fasta" -9.42289100510107 2.03066889881699
"tr_1_pm_2_25.fasta" -9.78272428575302 5.40734723111207
"tr_1_pm_2_26.fasta" -9.22598473149475 1.99491965707817
"tr_1_pm_2_27.fasta" -9.42289100510108 2.03066889881699
"tr_1_pm_2_28.fasta" -6.66727681999097 -0.30910508908562
"tr_1_pm_2_29.fasta" -10.2998153766648 2.74134407451884
"tr_1_pm_2_3.fasta" -10.62993370893 2.78639712121217
"tr_1_pm_2_30.fasta" -9.42895761632662 2.03045480344863
"tr_1_pm_2_31.fasta" -8.66872253060924 0.600140709864922
"tr_1_pm_2_32.fasta" -9.42289100510108 2.030668898817
"tr_1_pm_2_33.fasta" -8.85865217707574 1.96623408413968
"tr_1_pm_2_34.fasta" -9.04815720140827 2.00104159050195
"tr_1_pm_2_35.fasta" -9.04815720140827 2.00104159050195
"tr_1_pm_2_36.fasta" -4.29497787223523 1.84100320748393
"tr_1_pm_2_37.fasta" -10.6597488090225 2.75627881784393
"tr_1_pm_2_38.fasta" -8.965400731105 4.49079490069113
"tr_1_pm_2_39.fasta" -7.74720196349325 4.68780251541999
"tr_1_pm_2_4.fasta" -9.42895761632662 2.03045480344863
"tr_1_pm_2_40.fasta" -9.42895761632662 2.03045480344863
