"V1" "V2"
"tr_2_pm_1_32.fasta" "249"
"tr_2_pm_1_33.fasta" "236"
"tr_2_pm_1_34.fasta" "249"
"tr_2_pm_1_35.fasta" "225"
"tr_2_pm_1_36.fasta" "252"
"tr_2_pm_1_37.fasta" "228"
"tr_2_pm_1_38.fasta" "252"
"tr_2_pm_1_39.fasta" "225"
"tr_2_pm_1_40.fasta" "241"
"tr_2_pm_2_1.fasta" "239"
"tr_2_pm_2_2.fasta" "228"
"tr_2_pm_2_3.fasta" "240"
"tr_2_pm_2_4.fasta" "271"
"tr_2_pm_2_5.fasta" "235"
"tr_2_pm_2_6.fasta" "251"
"tr_2_pm_2_7.fasta" "232"
"tr_2_pm_2_8.fasta" "241"
"tr_2_pm_2_9.fasta" "216"
"tr_2_pm_2_10.fasta" "244"
"tr_2_pm_2_11.fasta" "232"
"tr_2_pm_2_12.fasta" "211"
"tr_2_pm_2_13.fasta" "243"
"tr_2_pm_2_14.fasta" "249"
"tr_2_pm_2_15.fasta" "239"
"tr_2_pm_2_16.fasta" "240"
"tr_2_pm_2_17.fasta" "241"
"tr_2_pm_2_18.fasta" "239"
"tr_2_pm_2_19.fasta" "248"
"tr_2_pm_2_20.fasta" "260"
"tr_2_pm_2_21.fasta" "250"
"tr_2_pm_2_22.fasta" "223"
"tr_2_pm_2_23.fasta" "247"
"tr_2_pm_2_24.fasta" "240"
"tr_2_pm_2_25.fasta" "211"
"tr_2_pm_2_26.fasta" "245"
"tr_2_pm_2_27.fasta" "232"
"tr_2_pm_2_28.fasta" "253"
"tr_2_pm_2_29.fasta" "234"
"tr_2_pm_2_30.fasta" "235"
"tr_2_pm_3_1.fasta" "209"
"tr_2_pm_3_2.fasta" "219"
"tr_2_pm_3_3.fasta" "247"
"tr_2_pm_3_4.fasta" "240"
"tr_2_pm_3_5.fasta" "204"
"tr_2_pm_3_6.fasta" "237"
"tr_2_pm_3_7.fasta" "222"
"tr_2_pm_3_8.fasta" "204"
"tr_2_pm_3_9.fasta" "235"
"tr_2_pm_3_10.fasta" "219"
"tr_2_pm_3_11.fasta" "225"
"tr_2_pm_3_12.fasta" "246"
"tr_2_pm_3_13.fasta" "219"
"tr_2_pm_3_14.fasta" "230"
"tr_2_pm_3_15.fasta" "223"
"tr_2_pm_3_16.fasta" "225"
"tr_2_pm_3_17.fasta" "213"
"tr_2_pm_3_18.fasta" "232"
"tr_2_pm_3_19.fasta" "247"
"tr_2_pm_3_20.fasta" "222"
"tr_2_pm_3_21.fasta" "242"
"tr_2_pm_3_22.fasta" "238"
"tr_2_pm_3_23.fasta" "229"
"tr_2_pm_3_24.fasta" "220"
"tr_2_pm_3_25.fasta" "229"
"tr_2_pm_3_26.fasta" "221"
"tr_2_pm_3_27.fasta" "229"
"tr_2_pm_3_28.fasta" "206"
"tr_2_pm_3_29.fasta" "216"
"tr_2_pm_3_30.fasta" "241"
"tr_3_pm_1_1.fasta" "258"
"tr_3_pm_1_2.fasta" "253"
"tr_3_pm_1_3.fasta" "271"
"tr_3_pm_1_4.fasta" "251"
"tr_3_pm_1_5.fasta" "218"
"tr_3_pm_1_6.fasta" "255"
"tr_3_pm_1_7.fasta" "249"
"tr_3_pm_1_8.fasta" "234"
"tr_3_pm_1_9.fasta" "246"
"tr_3_pm_1_10.fasta" "255"
"tr_3_pm_1_11.fasta" "242"
"tr_3_pm_1_12.fasta" "236"
"tr_3_pm_1_13.fasta" "263"
"tr_3_pm_1_14.fasta" "262"
"tr_3_pm_1_15.fasta" "246"
"tr_3_pm_1_16.fasta" "232"
"tr_3_pm_1_17.fasta" "242"
"tr_3_pm_1_18.fasta" "243"
"tr_3_pm_1_19.fasta" "268"
"tr_3_pm_1_20.fasta" "224"
"tr_3_pm_1_21.fasta" "263"
"tr_3_pm_1_22.fasta" "252"
"tr_3_pm_1_23.fasta" "253"
"tr_3_pm_1_24.fasta" "218"
"tr_3_pm_1_25.fasta" "238"
"tr_3_pm_1_26.fasta" "239"
"tr_3_pm_1_27.fasta" "232"
"tr_3_pm_1_28.fasta" "244"
"tr_3_pm_1_29.fasta" "221"
"tr_3_pm_1_30.fasta" "237"
"tr_3_pm_1_31.fasta" "271"
"tr_3_pm_1_32.fasta" "246"
"tr_3_pm_1_33.fasta" "226"
"tr_3_pm_1_34.fasta" "248"
"tr_3_pm_1_35.fasta" "239"
"tr_3_pm_1_36.fasta" "243"
"tr_3_pm_1_37.fasta" "249"
"tr_3_pm_1_38.fasta" "259"
"tr_3_pm_1_39.fasta" "258"
"tr_3_pm_1_40.fasta" "242"
"tr_3_pm_2_1.fasta" "229"
"tr_3_pm_2_2.fasta" "245"
"tr_3_pm_2_3.fasta" "236"
"tr_3_pm_2_4.fasta" "222"
"tr_3_pm_2_5.fasta" "202"
"tr_3_pm_2_6.fasta" "235"
"tr_3_pm_2_7.fasta" "236"
"tr_3_pm_2_8.fasta" "251"
"tr_3_pm_2_9.fasta" "248"
"tr_3_pm_2_10.fasta" "241"
"tr_3_pm_2_11.fasta" "233"
"tr_3_pm_2_12.fasta" "245"
"tr_3_pm_2_13.fasta" "246"
"tr_3_pm_2_14.fasta" "236"
"tr_3_pm_2_15.fasta" "267"
"tr_3_pm_2_16.fasta" "225"
"tr_3_pm_2_17.fasta" "249"
"tr_3_pm_2_18.fasta" "236"
"tr_3_pm_2_19.fasta" "251"
"tr_3_pm_2_20.fasta" "244"
