# BEAST v1.8.0, r5971
# Generated Wed Jan 06 09:25:07 EST 2016 [seed=1452032706689]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(one)	tmrca(two)	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	treeLikelihood	coalescent
0	-4181.3240233928	-4181.3240233928	-1.6653345369377354E-15	62.78419752365571	22.050473597188116	34.92094007393192	15.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	-1.6653345369377354E-15	-302.58975648979623
10000	-227.606145003282	-227.606145003282	-1.3322676295501882E-15	100.25073908594617	10.147382532193607	20.71298251238019	34.20316202488894	2.215555635632802	0.25460276661385534	0.24937228662987093	0.23755236663049956	0.2584725801257742	0.001809149645793209	-1.3322676295501882E-15	-225.12411464833187
20000	-228.66340674836405	-228.66340674836405	-8.326672684688687E-15	98.42303939718161	10.407601795366288	20.08770405985878	42.659980603150316	1.65157439377637	0.23263019249503827	0.20927585442727456	0.2825248454947704	0.2755691075829167	5.134857019537051E-4	-8.326672684688687E-15	-223.16757386077683
30000	-232.1221670039462	-232.12216700394617	-2.5979218776228777E-14	100.08092506736003	10.559072028946671	19.65031842537702	37.283643612311295	0.5031369384067798	0.02329332533128648	0.208094914911738	0.4368187185089276	0.33179304124804776	3.0775843608820904E-4	-2.5979218776228777E-14	-231.8989517453035
40000	-245.9718143833514	-245.97181438335136	-2.8310687127941624E-14	99.33039770922205	8.94019843814567	19.459079426043676	47.886745745319026	0.48325198519816476	0.01382451285452177	0.1917661872222267	0.5840820072996402	0.2103272926236111	0.001295242898777759	-2.8310687127941624E-14	-241.55288083766578
50000	-229.17313568121315	-229.17313568121313	-2.8976820942716725E-14	99.97156650641723	9.857643800629706	20.47940185954832	36.85589041874974	2.8035607145501102	0.29736563798234084	0.08590929094393854	0.3820877259226386	0.23463734515108178	2.1768164785491328E-4	-2.8976820942716725E-14	-228.75345152039196
60000	-225.2058132936616	-225.2058132936616	-1.3655743202889457E-14	99.99077290649329	10.15407214805838	20.173487065501213	40.94853577018534	2.2963890965469504	0.3683183146969756	0.06773788116910512	0.48363406275394705	0.0803097413799721	6.075944088302015E-5	-1.3655743202889457E-14	-225.92021263483284
70000	-256.35503092083866	-256.35503092083866	-9.658940314238878E-15	100.84613996098756	8.532701116962357	20.43373149414301	68.59455733289444	20.40694002386576	0.33793959908632715	0.1656699656483824	0.11296112734447875	0.38342930792081165	3.122716144283127E-5	-9.658940314238878E-15	-247.61033883783
80000	-271.5976900531839	-271.5976900531839	-1.46549439250521E-14	100.41364100552018	10.081729813107787	20.38630815542019	103.04458621339184	4.497965567925886	0.7359352859765622	0.013523711306655278	0.21729933664825027	0.033241666068532155	0.0028605881289574782	-1.46549439250521E-14	-266.7127392162791
90000	-260.83893497468637	-260.83893497468637	6.661338147750938E-16	100.23233804171667	10.010600671344513	20.19740806939594	80.3832490267529	0.3808277309910667	0.5253489038740504	0.34954587420810207	0.07002860415915281	0.05507661775869471	7.176691852342448E-7	6.661338147750938E-16	-263.90868250264464
100000	-263.99709357554855	-263.99709357554855	3.996802888650561E-15	99.43374803679306	10.175720892303543	20.27996687455106	72.62278772861349	0.8051419839056213	0.3566018591309911	0.2596410978162586	0.3649883859764812	0.018768657076269152	2.3972393019517713E-4	3.996802888650561E-15	-263.38019031101715
110000	-245.9147867127726	-245.9147867127726	-4.662936703425661E-15	99.82394008548356	9.605526347476612	19.98766263148134	45.96790725165569	4.168151309850342	0.5177600760091373	0.01886997410817673	0.05170329835460771	0.41166665152807824	0.0023695019648486554	-4.662936703425661E-15	-242.88603036081994
120000	-272.3020254640077	-272.3020254640077	-7.327471962526043E-15	99.67452887117135	9.527808664537146	19.769728584607048	102.7136946279856	8.723593219031766	0.3239436641584532	0.1554577293417168	0.04723306434866753	0.47336554215116244	8.881016924170192E-4	-7.327471962526043E-15	-268.0929641125593
130000	-217.27768363357777	-217.27768363357777	9.3258734068513E-15	99.41789375339236	10.670228130561187	18.86203614013997	27.11468712332437	0.611690662650187	0.5075005220366515	0.1554577293417168	0.14790190900399902	0.1891398396176327	3.436119626245276E-5	9.3258734068513E-15	-215.25882079271588
140000	-239.70210923428374	-239.70210923428377	3.8635761256955195E-14	100.68954843363834	10.558700868430174	20.58707150972306	50.23594945825746	0.429509948592057	0.5859797391826708	0.07770268060732531	0.1602169459089826	0.17610063430102157	6.977158398359097E-4	3.8635761256955195E-14	-237.24363054690048
150000	-256.8267830576307	-256.82678305763073	3.7303493627405026E-14	100.27507025737007	9.747892303968241	19.585425696435408	89.85455761780797	0.4080542581936654	0.4192526276337723	0.23593435457324327	0.09338888880978363	0.25142412898320105	2.0924864962334726E-4	3.7303493627405026E-14	-256.2890070809668
160000	-216.35504858247447	-216.3550485824745	3.130828929442925E-14	100.49750988492994	10.276043946468143	19.653990377676635	33.015137189197695	0.6325558337418775	0.06801844507559468	0.06887019495586448	0.5217445371409556	0.34136682282758546	1.1052409151942943E-5	3.130828929442925E-14	-217.98303013024807
170000	-230.05953006615755	-230.05953006615758	2.9976021664879075E-14	99.69295430001334	10.464030495536898	19.932786496021752	41.45633412969161	3.1201365045238254	0.11111443001783995	0.032770260481310653	0.2096786375981499	0.6464366719026997	0.0024263763037210007	2.9976021664879075E-14	-227.24390791439157
180000	-227.89275181844098	-227.892751818441	4.263256414560571E-14	100.26134306159479	10.881187068620212	20.127234074438963	44.49756771189182	1.544321155486491	0.13694080990195334	0.2485718088004159	0.14738154438192413	0.4671058369157069	2.2793270823775018E-4	4.263256414560571E-14	-226.51966716100475
190000	-260.9416956577726	-260.94169565777264	3.7303493627405026E-14	99.94913180126252	8.2342953566712	19.579803452902645	61.47141144790517	2.522547737551514	0.38438769183653165	0.1548029078718474	0.013816157713068641	0.44699324257855255	0.004121362675912004	3.7303493627405026E-14	-250.64050551892117
200000	-230.9367435391623	-230.93674353916234	3.7303493627405026E-14	100.31690615475453	10.162725782703477	19.483782127139406	43.03981126456649	2.7202836487601934	0.04317467082799373	0.43856680740819853	0.3458425259518374	0.1724159958119706	7.052128309661466E-6	3.7303493627405026E-14	-231.90620623094873
210000	-216.67530339056052	-216.67530339056054	4.130029651605554E-14	99.77191255036459	9.79049539431587	20.054344660755813	32.88038172919774	0.9794852555247773	0.40823737515506114	0.2654063881481513	0.260327411160984	0.0660288255358038	2.3518908399651687E-4	4.130029651605554E-14	-217.30618584043603
220000	-238.5401822389067	-238.54018223890674	2.597921877622855E-14	100.22300461830075	10.627670636741746	19.723904348890944	52.44866073410023	0.07291537405060099	0.012123643916081908	0.12569213057733614	0.5557411923404922	0.3064430331660899	4.250813117480524E-4	2.597921877622855E-14	-236.28671166036958
