"tr_1_100.fasta" "tr_1_117.fasta" "tr_1_120.fasta" "tr_1_122.fasta" "tr_1_135.fasta" "tr_1_138.fasta" "tr_1_142.fasta" "tr_1_20.fasta" "tr_1_28.fasta" "tr_1_58.fasta" "tr_1_67.fasta" "tr_1_90.fasta" "tr_1_95.fasta" "tr_1_99.fasta" "tr_2_100.fasta" "tr_2_18.fasta" "tr_2_25.fasta" "tr_2_38.fasta" "tr_2_66.fasta" "tr_2_68.fasta" "tr_2_79.fasta" "tr_2_82.fasta" "tr_2_83.fasta" "tr_2_84.fasta" "tr_2_91.fasta" "tr_2_94.fasta" "tr_2_97.fasta" "tr_3_1.fasta" "tr_3_24.fasta" "tr_3_32.fasta" "tr_3_33.fasta" "tr_3_35.fasta" "tr_3_36.fasta" "tr_3_38.fasta" "tr_3_68.fasta" "tr_3_70.fasta" "tr_3_71.fasta" "tr_3_84.fasta" "tr_3_89.fasta" "tr_4_100.fasta" "tr_4_29.fasta" "tr_4_55.fasta" "tr_4_57.fasta" "tr_4_6.fasta" "tr_4_67.fasta" "tr_4_93.fasta" "tr_4_94.fasta" "tr_4_97.fasta" "tr_5_18.fasta" "tr_5_35.fasta"
"tr_1_100.fasta" "tr_1_100.fasta tr_1_100.fasta" "tr_1_100.fasta tr_1_117.fasta" "tr_1_100.fasta tr_1_120.fasta" "tr_1_100.fasta tr_1_122.fasta" "tr_1_100.fasta tr_1_135.fasta" "tr_1_100.fasta tr_1_138.fasta" "tr_1_100.fasta tr_1_142.fasta" "tr_1_100.fasta tr_1_20.fasta" "tr_1_100.fasta tr_1_28.fasta" "tr_1_100.fasta tr_1_58.fasta" "tr_1_100.fasta tr_1_67.fasta" "tr_1_100.fasta tr_1_90.fasta" "tr_1_100.fasta tr_1_95.fasta" "tr_1_100.fasta tr_1_99.fasta" "tr_1_100.fasta tr_2_100.fasta" "tr_1_100.fasta tr_2_18.fasta" "tr_1_100.fasta tr_2_25.fasta" "tr_1_100.fasta tr_2_38.fasta" "tr_1_100.fasta tr_2_66.fasta" "tr_1_100.fasta tr_2_68.fasta" "tr_1_100.fasta tr_2_79.fasta" "tr_1_100.fasta tr_2_82.fasta" "tr_1_100.fasta tr_2_83.fasta" "tr_1_100.fasta tr_2_84.fasta" "tr_1_100.fasta tr_2_91.fasta" "tr_1_100.fasta tr_2_94.fasta" "tr_1_100.fasta tr_2_97.fasta" "tr_1_100.fasta tr_3_1.fasta" "tr_1_100.fasta tr_3_24.fasta" "tr_1_100.fasta tr_3_32.fasta" "tr_1_100.fasta tr_3_33.fasta" "tr_1_100.fasta tr_3_35.fasta" "tr_1_100.fasta tr_3_36.fasta" "tr_1_100.fasta tr_3_38.fasta" "tr_1_100.fasta tr_3_68.fasta" "tr_1_100.fasta tr_3_70.fasta" "tr_1_100.fasta tr_3_71.fasta" "tr_1_100.fasta tr_3_84.fasta" "tr_1_100.fasta tr_3_89.fasta" "tr_1_100.fasta tr_4_100.fasta" "tr_1_100.fasta tr_4_29.fasta" "tr_1_100.fasta tr_4_55.fasta" "tr_1_100.fasta tr_4_57.fasta" "tr_1_100.fasta tr_4_6.fasta" "tr_1_100.fasta tr_4_67.fasta" "tr_1_100.fasta tr_4_93.fasta" "tr_1_100.fasta tr_4_94.fasta" "tr_1_100.fasta tr_4_97.fasta" "tr_1_100.fasta tr_5_18.fasta" "tr_1_100.fasta tr_5_35.fasta"
"tr_1_117.fasta" "0.0727965176680405" "tr_1_117.fasta tr_1_117.fasta" "tr_1_117.fasta tr_1_120.fasta" "tr_1_117.fasta tr_1_122.fasta" "tr_1_117.fasta tr_1_135.fasta" "tr_1_117.fasta tr_1_138.fasta" "tr_1_117.fasta tr_1_142.fasta" "tr_1_117.fasta tr_1_20.fasta" "tr_1_117.fasta tr_1_28.fasta" "tr_1_117.fasta tr_1_58.fasta" "tr_1_117.fasta tr_1_67.fasta" "tr_1_117.fasta tr_1_90.fasta" "tr_1_117.fasta tr_1_95.fasta" "tr_1_117.fasta tr_1_99.fasta" "tr_1_117.fasta tr_2_100.fasta" "tr_1_117.fasta tr_2_18.fasta" "tr_1_117.fasta tr_2_25.fasta" "tr_1_117.fasta tr_2_38.fasta" "tr_1_117.fasta tr_2_66.fasta" "tr_1_117.fasta tr_2_68.fasta" "tr_1_117.fasta tr_2_79.fasta" "tr_1_117.fasta tr_2_82.fasta" "tr_1_117.fasta tr_2_83.fasta" "tr_1_117.fasta tr_2_84.fasta" "tr_1_117.fasta tr_2_91.fasta" "tr_1_117.fasta tr_2_94.fasta" "tr_1_117.fasta tr_2_97.fasta" "tr_1_117.fasta tr_3_1.fasta" "tr_1_117.fasta tr_3_24.fasta" "tr_1_117.fasta tr_3_32.fasta" "tr_1_117.fasta tr_3_33.fasta" "tr_1_117.fasta tr_3_35.fasta" "tr_1_117.fasta tr_3_36.fasta" "tr_1_117.fasta tr_3_38.fasta" "tr_1_117.fasta tr_3_68.fasta" "tr_1_117.fasta tr_3_70.fasta" "tr_1_117.fasta tr_3_71.fasta" "tr_1_117.fasta tr_3_84.fasta" "tr_1_117.fasta tr_3_89.fasta" "tr_1_117.fasta tr_4_100.fasta" "tr_1_117.fasta tr_4_29.fasta" "tr_1_117.fasta tr_4_55.fasta" "tr_1_117.fasta tr_4_57.fasta" "tr_1_117.fasta tr_4_6.fasta" "tr_1_117.fasta tr_4_67.fasta" "tr_1_117.fasta tr_4_93.fasta" "tr_1_117.fasta tr_4_94.fasta" "tr_1_117.fasta tr_4_97.fasta" "tr_1_117.fasta tr_5_18.fasta" "tr_1_117.fasta tr_5_35.fasta"
"tr_1_120.fasta" "0.104836009601893" "0.111839651039948" "tr_1_120.fasta tr_1_120.fasta" "tr_1_120.fasta tr_1_122.fasta" "tr_1_120.fasta tr_1_135.fasta" "tr_1_120.fasta tr_1_138.fasta" "tr_1_120.fasta tr_1_142.fasta" "tr_1_120.fasta tr_1_20.fasta" "tr_1_120.fasta tr_1_28.fasta" "tr_1_120.fasta tr_1_58.fasta" "tr_1_120.fasta tr_1_67.fasta" "tr_1_120.fasta tr_1_90.fasta" "tr_1_120.fasta tr_1_95.fasta" "tr_1_120.fasta tr_1_99.fasta" "tr_1_120.fasta tr_2_100.fasta" "tr_1_120.fasta tr_2_18.fasta" "tr_1_120.fasta tr_2_25.fasta" "tr_1_120.fasta tr_2_38.fasta" "tr_1_120.fasta tr_2_66.fasta" "tr_1_120.fasta tr_2_68.fasta" "tr_1_120.fasta tr_2_79.fasta" "tr_1_120.fasta tr_2_82.fasta" "tr_1_120.fasta tr_2_83.fasta" "tr_1_120.fasta tr_2_84.fasta" "tr_1_120.fasta tr_2_91.fasta" "tr_1_120.fasta tr_2_94.fasta" "tr_1_120.fasta tr_2_97.fasta" "tr_1_120.fasta tr_3_1.fasta" "tr_1_120.fasta tr_3_24.fasta" "tr_1_120.fasta tr_3_32.fasta" "tr_1_120.fasta tr_3_33.fasta" "tr_1_120.fasta tr_3_35.fasta" "tr_1_120.fasta tr_3_36.fasta" "tr_1_120.fasta tr_3_38.fasta" "tr_1_120.fasta tr_3_68.fasta" "tr_1_120.fasta tr_3_70.fasta" "tr_1_120.fasta tr_3_71.fasta" "tr_1_120.fasta tr_3_84.fasta" "tr_1_120.fasta tr_3_89.fasta" "tr_1_120.fasta tr_4_100.fasta" "tr_1_120.fasta tr_4_29.fasta" "tr_1_120.fasta tr_4_55.fasta" "tr_1_120.fasta tr_4_57.fasta" "tr_1_120.fasta tr_4_6.fasta" "tr_1_120.fasta tr_4_67.fasta" "tr_1_120.fasta tr_4_93.fasta" "tr_1_120.fasta tr_4_94.fasta" "tr_1_120.fasta tr_4_97.fasta" "tr_1_120.fasta tr_5_18.fasta" "tr_1_120.fasta tr_5_35.fasta"
"tr_1_122.fasta" "0.0777727757363828" "0.0990256321686434" "0.0808955818954091" "tr_1_122.fasta tr_1_122.fasta" "tr_1_122.fasta tr_1_135.fasta" "tr_1_122.fasta tr_1_138.fasta" "tr_1_122.fasta tr_1_142.fasta" "tr_1_122.fasta tr_1_20.fasta" "tr_1_122.fasta tr_1_28.fasta" "tr_1_122.fasta tr_1_58.fasta" "tr_1_122.fasta tr_1_67.fasta" "tr_1_122.fasta tr_1_90.fasta" "tr_1_122.fasta tr_1_95.fasta" "tr_1_122.fasta tr_1_99.fasta" "tr_1_122.fasta tr_2_100.fasta" "tr_1_122.fasta tr_2_18.fasta" "tr_1_122.fasta tr_2_25.fasta" "tr_1_122.fasta tr_2_38.fasta" "tr_1_122.fasta tr_2_66.fasta" "tr_1_122.fasta tr_2_68.fasta" "tr_1_122.fasta tr_2_79.fasta" "tr_1_122.fasta tr_2_82.fasta" "tr_1_122.fasta tr_2_83.fasta" "tr_1_122.fasta tr_2_84.fasta" "tr_1_122.fasta tr_2_91.fasta" "tr_1_122.fasta tr_2_94.fasta" "tr_1_122.fasta tr_2_97.fasta" "tr_1_122.fasta tr_3_1.fasta" "tr_1_122.fasta tr_3_24.fasta" "tr_1_122.fasta tr_3_32.fasta" "tr_1_122.fasta tr_3_33.fasta" "tr_1_122.fasta tr_3_35.fasta" "tr_1_122.fasta tr_3_36.fasta" "tr_1_122.fasta tr_3_38.fasta" "tr_1_122.fasta tr_3_68.fasta" "tr_1_122.fasta tr_3_70.fasta" "tr_1_122.fasta tr_3_71.fasta" "tr_1_122.fasta tr_3_84.fasta" "tr_1_122.fasta tr_3_89.fasta" "tr_1_122.fasta tr_4_100.fasta" "tr_1_122.fasta tr_4_29.fasta" "tr_1_122.fasta tr_4_55.fasta" "tr_1_122.fasta tr_4_57.fasta" "tr_1_122.fasta tr_4_6.fasta" "tr_1_122.fasta tr_4_67.fasta" "tr_1_122.fasta tr_4_93.fasta" "tr_1_122.fasta tr_4_94.fasta" "tr_1_122.fasta tr_4_97.fasta" "tr_1_122.fasta tr_5_18.fasta" "tr_1_122.fasta tr_5_35.fasta"
"tr_1_135.fasta" "0.0770246456506566" "0.0913577969518778" "0.106322142332921" "0.098590656890088" "tr_1_135.fasta tr_1_135.fasta" "tr_1_135.fasta tr_1_138.fasta" "tr_1_135.fasta tr_1_142.fasta" "tr_1_135.fasta tr_1_20.fasta" "tr_1_135.fasta tr_1_28.fasta" "tr_1_135.fasta tr_1_58.fasta" "tr_1_135.fasta tr_1_67.fasta" "tr_1_135.fasta tr_1_90.fasta" "tr_1_135.fasta tr_1_95.fasta" "tr_1_135.fasta tr_1_99.fasta" "tr_1_135.fasta tr_2_100.fasta" "tr_1_135.fasta tr_2_18.fasta" "tr_1_135.fasta tr_2_25.fasta" "tr_1_135.fasta tr_2_38.fasta" "tr_1_135.fasta tr_2_66.fasta" "tr_1_135.fasta tr_2_68.fasta" "tr_1_135.fasta tr_2_79.fasta" "tr_1_135.fasta tr_2_82.fasta" "tr_1_135.fasta tr_2_83.fasta" "tr_1_135.fasta tr_2_84.fasta" "tr_1_135.fasta tr_2_91.fasta" "tr_1_135.fasta tr_2_94.fasta" "tr_1_135.fasta tr_2_97.fasta" "tr_1_135.fasta tr_3_1.fasta" "tr_1_135.fasta tr_3_24.fasta" "tr_1_135.fasta tr_3_32.fasta" "tr_1_135.fasta tr_3_33.fasta" "tr_1_135.fasta tr_3_35.fasta" "tr_1_135.fasta tr_3_36.fasta" "tr_1_135.fasta tr_3_38.fasta" "tr_1_135.fasta tr_3_68.fasta" "tr_1_135.fasta tr_3_70.fasta" "tr_1_135.fasta tr_3_71.fasta" "tr_1_135.fasta tr_3_84.fasta" "tr_1_135.fasta tr_3_89.fasta" "tr_1_135.fasta tr_4_100.fasta" "tr_1_135.fasta tr_4_29.fasta" "tr_1_135.fasta tr_4_55.fasta" "tr_1_135.fasta tr_4_57.fasta" "tr_1_135.fasta tr_4_6.fasta" "tr_1_135.fasta tr_4_67.fasta" "tr_1_135.fasta tr_4_93.fasta" "tr_1_135.fasta tr_4_94.fasta" "tr_1_135.fasta tr_4_97.fasta" "tr_1_135.fasta tr_5_18.fasta" "tr_1_135.fasta tr_5_35.fasta"
"tr_1_138.fasta" "0.0628356989650892" "0.0604475981413886" "0.0735955981331546" "0.0755268543027364" "0.078539989332063" "tr_1_138.fasta tr_1_138.fasta" "tr_1_138.fasta tr_1_142.fasta" "tr_1_138.fasta tr_1_20.fasta" "tr_1_138.fasta tr_1_28.fasta" "tr_1_138.fasta tr_1_58.fasta" "tr_1_138.fasta tr_1_67.fasta" "tr_1_138.fasta tr_1_90.fasta" "tr_1_138.fasta tr_1_95.fasta" "tr_1_138.fasta tr_1_99.fasta" "tr_1_138.fasta tr_2_100.fasta" "tr_1_138.fasta tr_2_18.fasta" "tr_1_138.fasta tr_2_25.fasta" "tr_1_138.fasta tr_2_38.fasta" "tr_1_138.fasta tr_2_66.fasta" "tr_1_138.fasta tr_2_68.fasta" "tr_1_138.fasta tr_2_79.fasta" "tr_1_138.fasta tr_2_82.fasta" "tr_1_138.fasta tr_2_83.fasta" "tr_1_138.fasta tr_2_84.fasta" "tr_1_138.fasta tr_2_91.fasta" "tr_1_138.fasta tr_2_94.fasta" "tr_1_138.fasta tr_2_97.fasta" "tr_1_138.fasta tr_3_1.fasta" "tr_1_138.fasta tr_3_24.fasta" "tr_1_138.fasta tr_3_32.fasta" "tr_1_138.fasta tr_3_33.fasta" "tr_1_138.fasta tr_3_35.fasta" "tr_1_138.fasta tr_3_36.fasta" "tr_1_138.fasta tr_3_38.fasta" "tr_1_138.fasta tr_3_68.fasta" "tr_1_138.fasta tr_3_70.fasta" "tr_1_138.fasta tr_3_71.fasta" "tr_1_138.fasta tr_3_84.fasta" "tr_1_138.fasta tr_3_89.fasta" "tr_1_138.fasta tr_4_100.fasta" "tr_1_138.fasta tr_4_29.fasta" "tr_1_138.fasta tr_4_55.fasta" "tr_1_138.fasta tr_4_57.fasta" "tr_1_138.fasta tr_4_6.fasta" "tr_1_138.fasta tr_4_67.fasta" "tr_1_138.fasta tr_4_93.fasta" "tr_1_138.fasta tr_4_94.fasta" "tr_1_138.fasta tr_4_97.fasta" "tr_1_138.fasta tr_5_18.fasta" "tr_1_138.fasta tr_5_35.fasta"
"tr_1_142.fasta" "0.074106776150471" "0.0815172765159706" "0.092269171576152" "0.0879163248778834" "0.0849031456635712" "0.0769324000040902" "tr_1_142.fasta tr_1_142.fasta" "tr_1_142.fasta tr_1_20.fasta" "tr_1_142.fasta tr_1_28.fasta" "tr_1_142.fasta tr_1_58.fasta" "tr_1_142.fasta tr_1_67.fasta" "tr_1_142.fasta tr_1_90.fasta" "tr_1_142.fasta tr_1_95.fasta" "tr_1_142.fasta tr_1_99.fasta" "tr_1_142.fasta tr_2_100.fasta" "tr_1_142.fasta tr_2_18.fasta" "tr_1_142.fasta tr_2_25.fasta" "tr_1_142.fasta tr_2_38.fasta" "tr_1_142.fasta tr_2_66.fasta" "tr_1_142.fasta tr_2_68.fasta" "tr_1_142.fasta tr_2_79.fasta" "tr_1_142.fasta tr_2_82.fasta" "tr_1_142.fasta tr_2_83.fasta" "tr_1_142.fasta tr_2_84.fasta" "tr_1_142.fasta tr_2_91.fasta" "tr_1_142.fasta tr_2_94.fasta" "tr_1_142.fasta tr_2_97.fasta" "tr_1_142.fasta tr_3_1.fasta" "tr_1_142.fasta tr_3_24.fasta" "tr_1_142.fasta tr_3_32.fasta" "tr_1_142.fasta tr_3_33.fasta" "tr_1_142.fasta tr_3_35.fasta" "tr_1_142.fasta tr_3_36.fasta" "tr_1_142.fasta tr_3_38.fasta" "tr_1_142.fasta tr_3_68.fasta" "tr_1_142.fasta tr_3_70.fasta" "tr_1_142.fasta tr_3_71.fasta" "tr_1_142.fasta tr_3_84.fasta" "tr_1_142.fasta tr_3_89.fasta" "tr_1_142.fasta tr_4_100.fasta" "tr_1_142.fasta tr_4_29.fasta" "tr_1_142.fasta tr_4_55.fasta" "tr_1_142.fasta tr_4_57.fasta" "tr_1_142.fasta tr_4_6.fasta" "tr_1_142.fasta tr_4_67.fasta" "tr_1_142.fasta tr_4_93.fasta" "tr_1_142.fasta tr_4_94.fasta" "tr_1_142.fasta tr_4_97.fasta" "tr_1_142.fasta tr_5_18.fasta" "tr_1_142.fasta tr_5_35.fasta"
"tr_1_20.fasta" "0.0719751022910802" "0.110436719535402" "0.0910323277288962" "0.0747914224295175" "0.0974223344207104" "0.0581485783578883" "0.0967893639835965" "tr_1_20.fasta tr_1_20.fasta" "tr_1_20.fasta tr_1_28.fasta" "tr_1_20.fasta tr_1_58.fasta" "tr_1_20.fasta tr_1_67.fasta" "tr_1_20.fasta tr_1_90.fasta" "tr_1_20.fasta tr_1_95.fasta" "tr_1_20.fasta tr_1_99.fasta" "tr_1_20.fasta tr_2_100.fasta" "tr_1_20.fasta tr_2_18.fasta" "tr_1_20.fasta tr_2_25.fasta" "tr_1_20.fasta tr_2_38.fasta" "tr_1_20.fasta tr_2_66.fasta" "tr_1_20.fasta tr_2_68.fasta" "tr_1_20.fasta tr_2_79.fasta" "tr_1_20.fasta tr_2_82.fasta" "tr_1_20.fasta tr_2_83.fasta" "tr_1_20.fasta tr_2_84.fasta" "tr_1_20.fasta tr_2_91.fasta" "tr_1_20.fasta tr_2_94.fasta" "tr_1_20.fasta tr_2_97.fasta" "tr_1_20.fasta tr_3_1.fasta" "tr_1_20.fasta tr_3_24.fasta" "tr_1_20.fasta tr_3_32.fasta" "tr_1_20.fasta tr_3_33.fasta" "tr_1_20.fasta tr_3_35.fasta" "tr_1_20.fasta tr_3_36.fasta" "tr_1_20.fasta tr_3_38.fasta" "tr_1_20.fasta tr_3_68.fasta" "tr_1_20.fasta tr_3_70.fasta" "tr_1_20.fasta tr_3_71.fasta" "tr_1_20.fasta tr_3_84.fasta" "tr_1_20.fasta tr_3_89.fasta" "tr_1_20.fasta tr_4_100.fasta" "tr_1_20.fasta tr_4_29.fasta" "tr_1_20.fasta tr_4_55.fasta" "tr_1_20.fasta tr_4_57.fasta" "tr_1_20.fasta tr_4_6.fasta" "tr_1_20.fasta tr_4_67.fasta" "tr_1_20.fasta tr_4_93.fasta" "tr_1_20.fasta tr_4_94.fasta" "tr_1_20.fasta tr_4_97.fasta" "tr_1_20.fasta tr_5_18.fasta" "tr_1_20.fasta tr_5_35.fasta"
"tr_1_28.fasta" "0.0577159824030343" "0.0776029319224749" "0.0826295944369373" "0.0664475242262749" "0.0846574730005023" "0.0511753777394281" "0.0720578330679997" "0.0503423402461912" "tr_1_28.fasta tr_1_28.fasta" "tr_1_28.fasta tr_1_58.fasta" "tr_1_28.fasta tr_1_67.fasta" "tr_1_28.fasta tr_1_90.fasta" "tr_1_28.fasta tr_1_95.fasta" "tr_1_28.fasta tr_1_99.fasta" "tr_1_28.fasta tr_2_100.fasta" "tr_1_28.fasta tr_2_18.fasta" "tr_1_28.fasta tr_2_25.fasta" "tr_1_28.fasta tr_2_38.fasta" "tr_1_28.fasta tr_2_66.fasta" "tr_1_28.fasta tr_2_68.fasta" "tr_1_28.fasta tr_2_79.fasta" "tr_1_28.fasta tr_2_82.fasta" "tr_1_28.fasta tr_2_83.fasta" "tr_1_28.fasta tr_2_84.fasta" "tr_1_28.fasta tr_2_91.fasta" "tr_1_28.fasta tr_2_94.fasta" "tr_1_28.fasta tr_2_97.fasta" "tr_1_28.fasta tr_3_1.fasta" "tr_1_28.fasta tr_3_24.fasta" "tr_1_28.fasta tr_3_32.fasta" "tr_1_28.fasta tr_3_33.fasta" "tr_1_28.fasta tr_3_35.fasta" "tr_1_28.fasta tr_3_36.fasta" "tr_1_28.fasta tr_3_38.fasta" "tr_1_28.fasta tr_3_68.fasta" "tr_1_28.fasta tr_3_70.fasta" "tr_1_28.fasta tr_3_71.fasta" "tr_1_28.fasta tr_3_84.fasta" "tr_1_28.fasta tr_3_89.fasta" "tr_1_28.fasta tr_4_100.fasta" "tr_1_28.fasta tr_4_29.fasta" "tr_1_28.fasta tr_4_55.fasta" "tr_1_28.fasta tr_4_57.fasta" "tr_1_28.fasta tr_4_6.fasta" "tr_1_28.fasta tr_4_67.fasta" "tr_1_28.fasta tr_4_93.fasta" "tr_1_28.fasta tr_4_94.fasta" "tr_1_28.fasta tr_4_97.fasta" "tr_1_28.fasta tr_5_18.fasta" "tr_1_28.fasta tr_5_35.fasta"
"tr_1_58.fasta" "0.0938792114519435" "0.0871565019988824" "0.0765819664172431" "0.0705513317267015" "0.0986861398754447" "0.0904533977596803" "0.079366220349499" "0.115416373959803" "0.0884064482232796" "tr_1_58.fasta tr_1_58.fasta" "tr_1_58.fasta tr_1_67.fasta" "tr_1_58.fasta tr_1_90.fasta" "tr_1_58.fasta tr_1_95.fasta" "tr_1_58.fasta tr_1_99.fasta" "tr_1_58.fasta tr_2_100.fasta" "tr_1_58.fasta tr_2_18.fasta" "tr_1_58.fasta tr_2_25.fasta" "tr_1_58.fasta tr_2_38.fasta" "tr_1_58.fasta tr_2_66.fasta" "tr_1_58.fasta tr_2_68.fasta" "tr_1_58.fasta tr_2_79.fasta" "tr_1_58.fasta tr_2_82.fasta" "tr_1_58.fasta tr_2_83.fasta" "tr_1_58.fasta tr_2_84.fasta" "tr_1_58.fasta tr_2_91.fasta" "tr_1_58.fasta tr_2_94.fasta" "tr_1_58.fasta tr_2_97.fasta" "tr_1_58.fasta tr_3_1.fasta" "tr_1_58.fasta tr_3_24.fasta" "tr_1_58.fasta tr_3_32.fasta" "tr_1_58.fasta tr_3_33.fasta" "tr_1_58.fasta tr_3_35.fasta" "tr_1_58.fasta tr_3_36.fasta" "tr_1_58.fasta tr_3_38.fasta" "tr_1_58.fasta tr_3_68.fasta" "tr_1_58.fasta tr_3_70.fasta" "tr_1_58.fasta tr_3_71.fasta" "tr_1_58.fasta tr_3_84.fasta" "tr_1_58.fasta tr_3_89.fasta" "tr_1_58.fasta tr_4_100.fasta" "tr_1_58.fasta tr_4_29.fasta" "tr_1_58.fasta tr_4_55.fasta" "tr_1_58.fasta tr_4_57.fasta" "tr_1_58.fasta tr_4_6.fasta" "tr_1_58.fasta tr_4_67.fasta" "tr_1_58.fasta tr_4_93.fasta" "tr_1_58.fasta tr_4_94.fasta" "tr_1_58.fasta tr_4_97.fasta" "tr_1_58.fasta tr_5_18.fasta" "tr_1_58.fasta tr_5_35.fasta"
