"V1" "V2"
"tr_1_pm_1_1.fasta" "383"
"tr_1_pm_1_2.fasta" "333"
"tr_1_pm_1_3.fasta" "341"
"tr_1_pm_1_4.fasta" "346"
"tr_1_pm_1_5.fasta" "357"
"tr_1_pm_1_6.fasta" "343"
"tr_1_pm_1_7.fasta" "358"
"tr_1_pm_1_8.fasta" "352"
"tr_1_pm_1_9.fasta" "328"
"tr_1_pm_1_10.fasta" "323"
"tr_1_pm_1_11.fasta" "322"
"tr_1_pm_1_12.fasta" "325"
"tr_1_pm_1_13.fasta" "354"
"tr_1_pm_1_14.fasta" "366"
"tr_1_pm_1_15.fasta" "351"
"tr_1_pm_1_16.fasta" "348"
"tr_1_pm_1_17.fasta" "330"
"tr_1_pm_1_18.fasta" "341"
"tr_1_pm_1_19.fasta" "318"
"tr_1_pm_1_20.fasta" "341"
"tr_1_pm_1_21.fasta" "351"
"tr_1_pm_1_22.fasta" "347"
"tr_1_pm_1_23.fasta" "347"
"tr_1_pm_1_24.fasta" "356"
"tr_1_pm_1_25.fasta" "348"
"tr_1_pm_1_26.fasta" "326"
"tr_1_pm_1_27.fasta" "339"
"tr_1_pm_1_28.fasta" "349"
"tr_1_pm_1_29.fasta" "331"
"tr_1_pm_1_30.fasta" "348"
"tr_1_pm_1_31.fasta" "312"
"tr_1_pm_1_32.fasta" "356"
"tr_1_pm_1_33.fasta" "352"
"tr_1_pm_1_34.fasta" "344"
"tr_1_pm_1_35.fasta" "344"
"tr_1_pm_1_36.fasta" "352"
"tr_1_pm_1_37.fasta" "345"
"tr_1_pm_1_38.fasta" "328"
"tr_1_pm_1_39.fasta" "330"
"tr_1_pm_1_40.fasta" "341"
"tr_1_pm_1_41.fasta" "331"
"tr_1_pm_1_42.fasta" "344"
"tr_1_pm_1_43.fasta" "351"
"tr_1_pm_1_44.fasta" "344"
"tr_1_pm_1_45.fasta" "334"
"tr_1_pm_1_46.fasta" "353"
"tr_1_pm_1_47.fasta" "325"
"tr_1_pm_1_48.fasta" "348"
"tr_1_pm_1_49.fasta" "359"
"tr_1_pm_1_50.fasta" "357"
"tr_1_pm_1_51.fasta" "377"
"tr_1_pm_1_52.fasta" "365"
"tr_1_pm_1_53.fasta" "326"
"tr_1_pm_1_54.fasta" "352"
"tr_1_pm_1_55.fasta" "364"
"tr_1_pm_1_56.fasta" "357"
"tr_1_pm_1_57.fasta" "344"
"tr_1_pm_1_58.fasta" "362"
"tr_1_pm_1_59.fasta" "345"
"tr_1_pm_1_60.fasta" "345"
"tr_1_pm_1_61.fasta" "350"
"tr_1_pm_1_62.fasta" "329"
"tr_1_pm_1_63.fasta" "347"
"tr_1_pm_1_64.fasta" "336"
"tr_1_pm_1_65.fasta" "334"
"tr_1_pm_1_66.fasta" "336"
"tr_1_pm_1_67.fasta" "334"
"tr_1_pm_1_68.fasta" "357"
"tr_1_pm_1_69.fasta" "334"
"tr_1_pm_1_70.fasta" "337"
"tr_1_pm_2_1.fasta" "576"
"tr_1_pm_2_2.fasta" "550"
"tr_1_pm_2_3.fasta" "591"
"tr_1_pm_2_4.fasta" "580"
"tr_1_pm_2_5.fasta" "583"
"tr_1_pm_2_6.fasta" "575"
"tr_1_pm_2_7.fasta" "558"
"tr_1_pm_2_8.fasta" "590"
"tr_1_pm_2_9.fasta" "543"
"tr_1_pm_2_10.fasta" "607"
"tr_1_pm_2_11.fasta" "572"
"tr_1_pm_2_12.fasta" "577"
"tr_1_pm_2_13.fasta" "575"
"tr_1_pm_2_14.fasta" "575"
"tr_1_pm_2_15.fasta" "592"
"tr_1_pm_2_16.fasta" "562"
"tr_1_pm_2_17.fasta" "573"
"tr_1_pm_2_18.fasta" "586"
"tr_1_pm_2_19.fasta" "587"
"tr_1_pm_2_20.fasta" "587"
"tr_1_pm_2_21.fasta" "566"
"tr_1_pm_2_22.fasta" "585"
"tr_1_pm_2_23.fasta" "569"
"tr_1_pm_2_24.fasta" "603"
"tr_1_pm_2_25.fasta" "566"
"tr_1_pm_2_26.fasta" "580"
"tr_1_pm_2_27.fasta" "528"
"tr_1_pm_2_28.fasta" "578"
"tr_1_pm_2_29.fasta" "571"
"tr_1_pm_2_30.fasta" "564"
"tr_1_pm_2_31.fasta" "597"
"tr_1_pm_2_32.fasta" "545"
"tr_1_pm_2_33.fasta" "552"
"tr_1_pm_2_34.fasta" "593"
"tr_1_pm_2_35.fasta" "545"
"tr_1_pm_2_36.fasta" "593"
"tr_1_pm_2_37.fasta" "584"
"tr_1_pm_2_38.fasta" "572"
"tr_1_pm_2_39.fasta" "591"
"tr_1_pm_2_40.fasta" "568"
"tr_1_pm_2_41.fasta" "563"
"tr_1_pm_2_42.fasta" "594"
"tr_1_pm_2_43.fasta" "577"
"tr_1_pm_2_44.fasta" "570"
"tr_1_pm_2_45.fasta" "574"
"tr_1_pm_2_46.fasta" "588"
"tr_1_pm_2_47.fasta" "584"
"tr_1_pm_2_48.fasta" "571"
"tr_1_pm_2_49.fasta" "566"
"tr_1_pm_2_50.fasta" "571"
"tr_1_pm_3_1.fasta" "816"
"tr_1_pm_3_2.fasta" "820"
"tr_1_pm_3_3.fasta" "804"
"tr_1_pm_3_4.fasta" "807"
