"V1" "V2"
"tr_1_18.fasta" -10.964383466591 -1.22421613235314
"tr_1_19.fasta" -8.96742996549941 -1.01110525839301
"tr_1_2.fasta" -9.34251079723715 -1.78218685738427
"tr_1_20.fasta" -9.01409980234894 -0.421153151975765
"tr_1_21.fasta" -11.2701420901286 -2.8373169010131
"tr_1_22.fasta" -9.34251079723715 -1.78218685738427
"tr_1_23.fasta" -6.65126887475902 -0.792099257833727
"tr_1_24.fasta" -9.34251079723715 -1.78218685738427
"tr_1_25.fasta" -10.2057235980488 -0.647016932876692
"tr_1_26.fasta" -9.34251079723715 -1.78218685738427
"tr_1_27.fasta" -9.15107167352414 -1.70971740034826
"tr_1_28.fasta" -10.248345312928 -0.709620696338565
"tr_1_29.fasta" -9.01409980234895 -0.421153151975767
"tr_1_3.fasta" -9.15107167352414 -1.70971740034826
"tr_1_30.fasta" -9.34251079723715 -1.78218685738427
"tr_2_1.fasta" -1.7852311069578 7.40878621684708
"tr_2_10.fasta" -2.45668637427467 11.8912769173311
"tr_2_100.fasta" -1.20063323545725 9.6030174065196
"tr_2_11.fasta" -1.97569591697726 11.4421035423661
"tr_2_12.fasta" -0.135147960301159 8.72094287705145
"tr_2_13.fasta" -2.20568884518829 6.76566662590611
"tr_2_14.fasta" -1.47479563752671 8.80516560151591
"tr_2_15.fasta" 1.5750546867799 8.23255075851455
"tr_2_16.fasta" -3.27404568200631 7.48163014350347
"tr_2_17.fasta" -0.525506259610023 4.90600983289238
"tr_2_18.fasta" -4.25416895699204 7.85270505178627
"tr_2_19.fasta" -0.0533180458313678 8.56578534413564
"tr_2_2.fasta" -1.8270104255389 7.1865933474211
"tr_2_20.fasta" -0.88652026347483 7.53034099150147
"tr_2_21.fasta" -0.416624356548187 9.76315961197903
"tr_2_22.fasta" -1.7852311069578 7.40878621684708
"tr_2_23.fasta" -3.76535482260652 7.50939842384262
"tr_2_24.fasta" -3.21692369822097 5.48586036090226
"tr_2_25.fasta" -1.60047767961989 8.46357169535162
"tr_2_26.fasta" -3.04843112195628 8.43459391102455
"tr_2_27.fasta" -2.20568884518829 6.76566662590611
"tr_2_28.fasta" -2.72496208267244 5.76189374604647
"tr_2_29.fasta" -2.20568884518829 6.76566662590611
"tr_2_3.fasta" -1.65140721291108 5.52529380739047
"tr_2_30.fasta" -3.99593620871058 9.04409480558674
"tr_2_31.fasta" -3.07946770936663 9.41698065731697
"tr_2_32.fasta" -0.312807588792295 5.93214412761238
"tr_2_33.fasta" -2.20568884518829 6.76566662590611
"tr_2_34.fasta" -3.66442498419675 6.78318364835931
"tr_2_35.fasta" -5.38346199352519 7.45868979542397
"tr_2_36.fasta" -2.3541223459123 9.2030159238797
"tr_2_37.fasta" -2.20568884518829 6.76566662590611
"tr_2_38.fasta" -1.40067534287034 9.58447568565745
"tr_2_39.fasta" -1.7852311069578 7.40878621684708
"tr_2_4.fasta" -2.20568884518829 6.76566662590611
"tr_2_40.fasta" 1.66734681361353 6.48539620061268
"tr_2_41.fasta" -1.84455127889539 6.41310559029614
"tr_2_42.fasta" -2.86864732177342 6.0899986510796
"tr_2_43.fasta" -2.26789194573824 11.4732063390678
"tr_2_44.fasta" -1.82143587669664 9.75649563605594
"tr_2_45.fasta" -1.45917335224526 9.73582516976415
"tr_2_46.fasta" -3.21692369822097 5.48586036090226
"tr_2_47.fasta" -0.00808525402644172 8.52163134669739
"tr_2_48.fasta" -2.20568884518829 6.76566662590611
"tr_2_49.fasta" -3.65702253327476 11.0915428302667
"tr_2_5.fasta" -3.04843112195628 8.43459391102455
"tr_2_50.fasta" -1.77936058532526 7.46617989860414
"tr_2_51.fasta" -2.93783773270989 6.18704215870601
"tr_2_52.fasta" -0.694754924926721 7.87158367892028
"tr_2_53.fasta" -2.66645024231341 6.2551549687205
"tr_3_1.fasta" 8.72554290103448 4.48524621551702
"tr_3_10.fasta" 7.93557195913603 3.54565855479567
"tr_3_100.fasta" 7.91178938943978 3.53612325321445
"tr_3_11.fasta" 8.18756374544822 4.22447683054383
"tr_3_12.fasta" 9.53911822870626 6.6472583333756
"tr_3_13.fasta" 9.39775772428607 4.96997432269634
"tr_3_14.fasta" 11.0291716709707 5.9245323748143
"tr_3_15.fasta" 8.43345366888575 5.62162805815488
"tr_3_16.fasta" 7.30912454619264 4.98333766544896
"tr_3_17.fasta" 5.6589398601925 3.86737840421642
"tr_3_18.fasta" 7.61452863625784 3.8867127396799
"tr_3_19.fasta" 8.78315157446574 5.61539393591829
"tr_3_2.fasta" 9.22314013096624 5.80660598359243
"tr_3_20.fasta" 7.87058254893951 4.9599739048228
"tr_3_21.fasta" 8.79987608784261 5.59878034694672
"tr_3_22.fasta" 8.27269026747562 5.50204064873083
"tr_3_23.fasta" 8.03365161060455 5.1152424237739
"tr_3_24.fasta" 8.28628479397179 5.59167103816786
"tr_3_25.fasta" 9.39775772428607 4.96997432269634
"tr_3_26.fasta" 9.4297481553718 4.9813599979175
"tr_3_27.fasta" 9.33153527059076 4.86412750544682
"tr_3_28.fasta" 7.48575135468761 3.736537472717
"tr_3_29.fasta" 9.96251789521898 6.32095402859368
"tr_3_3.fasta" 8.68912894118629 5.46941909178181
"tr_3_30.fasta" 8.68912894118629 5.46941909178181
"tr_3_31.fasta" 7.49132534335373 3.74232077647608
"tr_3_32.fasta" 8.28287070594393 4.33794202192568
"tr_3_33.fasta" 6.96961562779876 4.05064218844499
"tr_3_34.fasta" 8.28287070594393 4.33794202192569
"tr_3_35.fasta" 8.61861020830079 4.33790405931897
"tr_3_36.fasta" 8.61861020830079 4.33790405931897
"tr_3_37.fasta" 4.6535005879557 3.49301566979109
"tr_3_38.fasta" 8.18756374544821 4.22447683054383
"tr_3_39.fasta" 7.29985284194724 3.02530478647894
"tr_3_4.fasta" 7.57480918416099 6.30586190204716
"tr_3_40.fasta" 9.39775772428607 4.96997432269634
"tr_3_41.fasta" 6.79770498233478 5.76406589128062
"tr_3_42.fasta" 9.98319283712931 6.3092349184815
"tr_3_43.fasta" 8.3713211012265 5.64450939017458
"tr_3_44.fasta" 6.48018213892648 4.58729840385737
"tr_3_45.fasta" 8.28287070594393 4.33794202192569
"tr_3_46.fasta" 8.33138315377872 5.58426861818163
"tr_3_47.fasta" 6.54676975324837 4.29139291980379
"tr_3_48.fasta" 8.67174364607752 5.48359917305303
"tr_3_49.fasta" 8.32415093409454 5.75590322371972
"tr_3_5.fasta" 9.39775772428607 4.96997432269634
"tr_3_50.fasta" 8.494359330799 5.58687158850226
"tr_3_51.fasta" 8.83946839384843 7.02836906012224
"tr_3_52.fasta" 8.67466144491204 6.83522838997139
"tr_3_53.fasta" 7.23355550124639 5.45736790860184
"tr_4_1.fasta" 9.51197082024058 -7.29781533874994
"tr_4_10.fasta" 8.38287631620423 -6.98621771036085
"tr_4_100.fasta" 10.0114425667402 -5.57107576335857
"tr_4_11.fasta" 8.38010581795927 -6.98278255530594
"tr_4_12.fasta" 8.91361916704218 -5.38887681214856
"tr_4_13.fasta" 10.8799398394969 -8.33363546602098
"tr_4_14.fasta" 9.94872088724516 -5.50363259603144
"tr_4_15.fasta" 10.0114425667402 -5.57107576335857
"tr_4_16.fasta" 8.91361916704219 -5.38887681214856
"tr_4_17.fasta" 10.9154263077639 -5.48145658368246
"tr_4_18.fasta" 10.0114425667402 -5.57107576335857
"tr_4_19.fasta" 8.91361916704219 -5.38887681214856
