"tr_1_113.fasta" "tr_1_125.fasta" "tr_1_136.fasta" "tr_1_140.fasta" "tr_1_146.fasta" "tr_1_30.fasta" "tr_1_31.fasta" "tr_1_39.fasta" "tr_1_46.fasta" "tr_1_71.fasta" "tr_1_75.fasta" "tr_1_80.fasta" "tr_1_81.fasta" "tr_1_9.fasta" "tr_1_92.fasta" "tr_2_35.fasta" "tr_2_47.fasta" "tr_2_5.fasta" "tr_2_61.fasta" "tr_2_8.fasta" "tr_2_85.fasta" "tr_2_93.fasta" "tr_2_95.fasta" "tr_2_96.fasta" "tr_3_18.fasta" "tr_3_33.fasta" "tr_3_56.fasta" "tr_3_61.fasta" "tr_3_66.fasta" "tr_3_96.fasta" "tr_3_98.fasta" "tr_3_99.fasta" "tr_4_2.fasta" "tr_4_38.fasta" "tr_4_39.fasta" "tr_4_43.fasta" "tr_4_50.fasta" "tr_4_57.fasta" "tr_4_7.fasta" "tr_4_82.fasta" "tr_4_83.fasta" "tr_4_95.fasta" "tr_4_97.fasta" "tr_5_2.fasta" "tr_5_22.fasta" "tr_5_40.fasta" "tr_5_43.fasta" "tr_5_5.fasta" "tr_5_6.fasta" "tr_5_9.fasta"
"tr_1_113.fasta" "tr_1_113.fasta tr_1_113.fasta" "tr_1_113.fasta tr_1_125.fasta" "tr_1_113.fasta tr_1_136.fasta" "tr_1_113.fasta tr_1_140.fasta" "tr_1_113.fasta tr_1_146.fasta" "tr_1_113.fasta tr_1_30.fasta" "tr_1_113.fasta tr_1_31.fasta" "tr_1_113.fasta tr_1_39.fasta" "tr_1_113.fasta tr_1_46.fasta" "tr_1_113.fasta tr_1_71.fasta" "tr_1_113.fasta tr_1_75.fasta" "tr_1_113.fasta tr_1_80.fasta" "tr_1_113.fasta tr_1_81.fasta" "tr_1_113.fasta tr_1_9.fasta" "tr_1_113.fasta tr_1_92.fasta" "tr_1_113.fasta tr_2_35.fasta" "tr_1_113.fasta tr_2_47.fasta" "tr_1_113.fasta tr_2_5.fasta" "tr_1_113.fasta tr_2_61.fasta" "tr_1_113.fasta tr_2_8.fasta" "tr_1_113.fasta tr_2_85.fasta" "tr_1_113.fasta tr_2_93.fasta" "tr_1_113.fasta tr_2_95.fasta" "tr_1_113.fasta tr_2_96.fasta" "tr_1_113.fasta tr_3_18.fasta" "tr_1_113.fasta tr_3_33.fasta" "tr_1_113.fasta tr_3_56.fasta" "tr_1_113.fasta tr_3_61.fasta" "tr_1_113.fasta tr_3_66.fasta" "tr_1_113.fasta tr_3_96.fasta" "tr_1_113.fasta tr_3_98.fasta" "tr_1_113.fasta tr_3_99.fasta" "tr_1_113.fasta tr_4_2.fasta" "tr_1_113.fasta tr_4_38.fasta" "tr_1_113.fasta tr_4_39.fasta" "tr_1_113.fasta tr_4_43.fasta" "tr_1_113.fasta tr_4_50.fasta" "tr_1_113.fasta tr_4_57.fasta" "tr_1_113.fasta tr_4_7.fasta" "tr_1_113.fasta tr_4_82.fasta" "tr_1_113.fasta tr_4_83.fasta" "tr_1_113.fasta tr_4_95.fasta" "tr_1_113.fasta tr_4_97.fasta" "tr_1_113.fasta tr_5_2.fasta" "tr_1_113.fasta tr_5_22.fasta" "tr_1_113.fasta tr_5_40.fasta" "tr_1_113.fasta tr_5_43.fasta" "tr_1_113.fasta tr_5_5.fasta" "tr_1_113.fasta tr_5_6.fasta" "tr_1_113.fasta tr_5_9.fasta"
"tr_1_125.fasta" "0.0938214448858491" "tr_1_125.fasta tr_1_125.fasta" "tr_1_125.fasta tr_1_136.fasta" "tr_1_125.fasta tr_1_140.fasta" "tr_1_125.fasta tr_1_146.fasta" "tr_1_125.fasta tr_1_30.fasta" "tr_1_125.fasta tr_1_31.fasta" "tr_1_125.fasta tr_1_39.fasta" "tr_1_125.fasta tr_1_46.fasta" "tr_1_125.fasta tr_1_71.fasta" "tr_1_125.fasta tr_1_75.fasta" "tr_1_125.fasta tr_1_80.fasta" "tr_1_125.fasta tr_1_81.fasta" "tr_1_125.fasta tr_1_9.fasta" "tr_1_125.fasta tr_1_92.fasta" "tr_1_125.fasta tr_2_35.fasta" "tr_1_125.fasta tr_2_47.fasta" "tr_1_125.fasta tr_2_5.fasta" "tr_1_125.fasta tr_2_61.fasta" "tr_1_125.fasta tr_2_8.fasta" "tr_1_125.fasta tr_2_85.fasta" "tr_1_125.fasta tr_2_93.fasta" "tr_1_125.fasta tr_2_95.fasta" "tr_1_125.fasta tr_2_96.fasta" "tr_1_125.fasta tr_3_18.fasta" "tr_1_125.fasta tr_3_33.fasta" "tr_1_125.fasta tr_3_56.fasta" "tr_1_125.fasta tr_3_61.fasta" "tr_1_125.fasta tr_3_66.fasta" "tr_1_125.fasta tr_3_96.fasta" "tr_1_125.fasta tr_3_98.fasta" "tr_1_125.fasta tr_3_99.fasta" "tr_1_125.fasta tr_4_2.fasta" "tr_1_125.fasta tr_4_38.fasta" "tr_1_125.fasta tr_4_39.fasta" "tr_1_125.fasta tr_4_43.fasta" "tr_1_125.fasta tr_4_50.fasta" "tr_1_125.fasta tr_4_57.fasta" "tr_1_125.fasta tr_4_7.fasta" "tr_1_125.fasta tr_4_82.fasta" "tr_1_125.fasta tr_4_83.fasta" "tr_1_125.fasta tr_4_95.fasta" "tr_1_125.fasta tr_4_97.fasta" "tr_1_125.fasta tr_5_2.fasta" "tr_1_125.fasta tr_5_22.fasta" "tr_1_125.fasta tr_5_40.fasta" "tr_1_125.fasta tr_5_43.fasta" "tr_1_125.fasta tr_5_5.fasta" "tr_1_125.fasta tr_5_6.fasta" "tr_1_125.fasta tr_5_9.fasta"
"tr_1_136.fasta" "0.0682528815880119" "0.0869402669392605" "tr_1_136.fasta tr_1_136.fasta" "tr_1_136.fasta tr_1_140.fasta" "tr_1_136.fasta tr_1_146.fasta" "tr_1_136.fasta tr_1_30.fasta" "tr_1_136.fasta tr_1_31.fasta" "tr_1_136.fasta tr_1_39.fasta" "tr_1_136.fasta tr_1_46.fasta" "tr_1_136.fasta tr_1_71.fasta" "tr_1_136.fasta tr_1_75.fasta" "tr_1_136.fasta tr_1_80.fasta" "tr_1_136.fasta tr_1_81.fasta" "tr_1_136.fasta tr_1_9.fasta" "tr_1_136.fasta tr_1_92.fasta" "tr_1_136.fasta tr_2_35.fasta" "tr_1_136.fasta tr_2_47.fasta" "tr_1_136.fasta tr_2_5.fasta" "tr_1_136.fasta tr_2_61.fasta" "tr_1_136.fasta tr_2_8.fasta" "tr_1_136.fasta tr_2_85.fasta" "tr_1_136.fasta tr_2_93.fasta" "tr_1_136.fasta tr_2_95.fasta" "tr_1_136.fasta tr_2_96.fasta" "tr_1_136.fasta tr_3_18.fasta" "tr_1_136.fasta tr_3_33.fasta" "tr_1_136.fasta tr_3_56.fasta" "tr_1_136.fasta tr_3_61.fasta" "tr_1_136.fasta tr_3_66.fasta" "tr_1_136.fasta tr_3_96.fasta" "tr_1_136.fasta tr_3_98.fasta" "tr_1_136.fasta tr_3_99.fasta" "tr_1_136.fasta tr_4_2.fasta" "tr_1_136.fasta tr_4_38.fasta" "tr_1_136.fasta tr_4_39.fasta" "tr_1_136.fasta tr_4_43.fasta" "tr_1_136.fasta tr_4_50.fasta" "tr_1_136.fasta tr_4_57.fasta" "tr_1_136.fasta tr_4_7.fasta" "tr_1_136.fasta tr_4_82.fasta" "tr_1_136.fasta tr_4_83.fasta" "tr_1_136.fasta tr_4_95.fasta" "tr_1_136.fasta tr_4_97.fasta" "tr_1_136.fasta tr_5_2.fasta" "tr_1_136.fasta tr_5_22.fasta" "tr_1_136.fasta tr_5_40.fasta" "tr_1_136.fasta tr_5_43.fasta" "tr_1_136.fasta tr_5_5.fasta" "tr_1_136.fasta tr_5_6.fasta" "tr_1_136.fasta tr_5_9.fasta"
"tr_1_140.fasta" "0.0546987820468665" "0.0991958497671609" "0.0610478847015953" "tr_1_140.fasta tr_1_140.fasta" "tr_1_140.fasta tr_1_146.fasta" "tr_1_140.fasta tr_1_30.fasta" "tr_1_140.fasta tr_1_31.fasta" "tr_1_140.fasta tr_1_39.fasta" "tr_1_140.fasta tr_1_46.fasta" "tr_1_140.fasta tr_1_71.fasta" "tr_1_140.fasta tr_1_75.fasta" "tr_1_140.fasta tr_1_80.fasta" "tr_1_140.fasta tr_1_81.fasta" "tr_1_140.fasta tr_1_9.fasta" "tr_1_140.fasta tr_1_92.fasta" "tr_1_140.fasta tr_2_35.fasta" "tr_1_140.fasta tr_2_47.fasta" "tr_1_140.fasta tr_2_5.fasta" "tr_1_140.fasta tr_2_61.fasta" "tr_1_140.fasta tr_2_8.fasta" "tr_1_140.fasta tr_2_85.fasta" "tr_1_140.fasta tr_2_93.fasta" "tr_1_140.fasta tr_2_95.fasta" "tr_1_140.fasta tr_2_96.fasta" "tr_1_140.fasta tr_3_18.fasta" "tr_1_140.fasta tr_3_33.fasta" "tr_1_140.fasta tr_3_56.fasta" "tr_1_140.fasta tr_3_61.fasta" "tr_1_140.fasta tr_3_66.fasta" "tr_1_140.fasta tr_3_96.fasta" "tr_1_140.fasta tr_3_98.fasta" "tr_1_140.fasta tr_3_99.fasta" "tr_1_140.fasta tr_4_2.fasta" "tr_1_140.fasta tr_4_38.fasta" "tr_1_140.fasta tr_4_39.fasta" "tr_1_140.fasta tr_4_43.fasta" "tr_1_140.fasta tr_4_50.fasta" "tr_1_140.fasta tr_4_57.fasta" "tr_1_140.fasta tr_4_7.fasta" "tr_1_140.fasta tr_4_82.fasta" "tr_1_140.fasta tr_4_83.fasta" "tr_1_140.fasta tr_4_95.fasta" "tr_1_140.fasta tr_4_97.fasta" "tr_1_140.fasta tr_5_2.fasta" "tr_1_140.fasta tr_5_22.fasta" "tr_1_140.fasta tr_5_40.fasta" "tr_1_140.fasta tr_5_43.fasta" "tr_1_140.fasta tr_5_5.fasta" "tr_1_140.fasta tr_5_6.fasta" "tr_1_140.fasta tr_5_9.fasta"
"tr_1_146.fasta" "0.106667436637725" "0.106781347471844" "0.120013820382046" "0.125819569156546" "tr_1_146.fasta tr_1_146.fasta" "tr_1_146.fasta tr_1_30.fasta" "tr_1_146.fasta tr_1_31.fasta" "tr_1_146.fasta tr_1_39.fasta" "tr_1_146.fasta tr_1_46.fasta" "tr_1_146.fasta tr_1_71.fasta" "tr_1_146.fasta tr_1_75.fasta" "tr_1_146.fasta tr_1_80.fasta" "tr_1_146.fasta tr_1_81.fasta" "tr_1_146.fasta tr_1_9.fasta" "tr_1_146.fasta tr_1_92.fasta" "tr_1_146.fasta tr_2_35.fasta" "tr_1_146.fasta tr_2_47.fasta" "tr_1_146.fasta tr_2_5.fasta" "tr_1_146.fasta tr_2_61.fasta" "tr_1_146.fasta tr_2_8.fasta" "tr_1_146.fasta tr_2_85.fasta" "tr_1_146.fasta tr_2_93.fasta" "tr_1_146.fasta tr_2_95.fasta" "tr_1_146.fasta tr_2_96.fasta" "tr_1_146.fasta tr_3_18.fasta" "tr_1_146.fasta tr_3_33.fasta" "tr_1_146.fasta tr_3_56.fasta" "tr_1_146.fasta tr_3_61.fasta" "tr_1_146.fasta tr_3_66.fasta" "tr_1_146.fasta tr_3_96.fasta" "tr_1_146.fasta tr_3_98.fasta" "tr_1_146.fasta tr_3_99.fasta" "tr_1_146.fasta tr_4_2.fasta" "tr_1_146.fasta tr_4_38.fasta" "tr_1_146.fasta tr_4_39.fasta" "tr_1_146.fasta tr_4_43.fasta" "tr_1_146.fasta tr_4_50.fasta" "tr_1_146.fasta tr_4_57.fasta" "tr_1_146.fasta tr_4_7.fasta" "tr_1_146.fasta tr_4_82.fasta" "tr_1_146.fasta tr_4_83.fasta" "tr_1_146.fasta tr_4_95.fasta" "tr_1_146.fasta tr_4_97.fasta" "tr_1_146.fasta tr_5_2.fasta" "tr_1_146.fasta tr_5_22.fasta" "tr_1_146.fasta tr_5_40.fasta" "tr_1_146.fasta tr_5_43.fasta" "tr_1_146.fasta tr_5_5.fasta" "tr_1_146.fasta tr_5_6.fasta" "tr_1_146.fasta tr_5_9.fasta"
"tr_1_30.fasta" "0.0624163806231105" "0.065224709488734" "0.077986485165434" "0.0777787043685335" "0.0977985402155347" "tr_1_30.fasta tr_1_30.fasta" "tr_1_30.fasta tr_1_31.fasta" "tr_1_30.fasta tr_1_39.fasta" "tr_1_30.fasta tr_1_46.fasta" "tr_1_30.fasta tr_1_71.fasta" "tr_1_30.fasta tr_1_75.fasta" "tr_1_30.fasta tr_1_80.fasta" "tr_1_30.fasta tr_1_81.fasta" "tr_1_30.fasta tr_1_9.fasta" "tr_1_30.fasta tr_1_92.fasta" "tr_1_30.fasta tr_2_35.fasta" "tr_1_30.fasta tr_2_47.fasta" "tr_1_30.fasta tr_2_5.fasta" "tr_1_30.fasta tr_2_61.fasta" "tr_1_30.fasta tr_2_8.fasta" "tr_1_30.fasta tr_2_85.fasta" "tr_1_30.fasta tr_2_93.fasta" "tr_1_30.fasta tr_2_95.fasta" "tr_1_30.fasta tr_2_96.fasta" "tr_1_30.fasta tr_3_18.fasta" "tr_1_30.fasta tr_3_33.fasta" "tr_1_30.fasta tr_3_56.fasta" "tr_1_30.fasta tr_3_61.fasta" "tr_1_30.fasta tr_3_66.fasta" "tr_1_30.fasta tr_3_96.fasta" "tr_1_30.fasta tr_3_98.fasta" "tr_1_30.fasta tr_3_99.fasta" "tr_1_30.fasta tr_4_2.fasta" "tr_1_30.fasta tr_4_38.fasta" "tr_1_30.fasta tr_4_39.fasta" "tr_1_30.fasta tr_4_43.fasta" "tr_1_30.fasta tr_4_50.fasta" "tr_1_30.fasta tr_4_57.fasta" "tr_1_30.fasta tr_4_7.fasta" "tr_1_30.fasta tr_4_82.fasta" "tr_1_30.fasta tr_4_83.fasta" "tr_1_30.fasta tr_4_95.fasta" "tr_1_30.fasta tr_4_97.fasta" "tr_1_30.fasta tr_5_2.fasta" "tr_1_30.fasta tr_5_22.fasta" "tr_1_30.fasta tr_5_40.fasta" "tr_1_30.fasta tr_5_43.fasta" "tr_1_30.fasta tr_5_5.fasta" "tr_1_30.fasta tr_5_6.fasta" "tr_1_30.fasta tr_5_9.fasta"
"tr_1_31.fasta" "0.0901106758596955" "0.113300028804078" "0.0634648461848053" "0.100138088893794" "0.105470544314442" "0.0916890125225347" "tr_1_31.fasta tr_1_31.fasta" "tr_1_31.fasta tr_1_39.fasta" "tr_1_31.fasta tr_1_46.fasta" "tr_1_31.fasta tr_1_71.fasta" "tr_1_31.fasta tr_1_75.fasta" "tr_1_31.fasta tr_1_80.fasta" "tr_1_31.fasta tr_1_81.fasta" "tr_1_31.fasta tr_1_9.fasta" "tr_1_31.fasta tr_1_92.fasta" "tr_1_31.fasta tr_2_35.fasta" "tr_1_31.fasta tr_2_47.fasta" "tr_1_31.fasta tr_2_5.fasta" "tr_1_31.fasta tr_2_61.fasta" "tr_1_31.fasta tr_2_8.fasta" "tr_1_31.fasta tr_2_85.fasta" "tr_1_31.fasta tr_2_93.fasta" "tr_1_31.fasta tr_2_95.fasta" "tr_1_31.fasta tr_2_96.fasta" "tr_1_31.fasta tr_3_18.fasta" "tr_1_31.fasta tr_3_33.fasta" "tr_1_31.fasta tr_3_56.fasta" "tr_1_31.fasta tr_3_61.fasta" "tr_1_31.fasta tr_3_66.fasta" "tr_1_31.fasta tr_3_96.fasta" "tr_1_31.fasta tr_3_98.fasta" "tr_1_31.fasta tr_3_99.fasta" "tr_1_31.fasta tr_4_2.fasta" "tr_1_31.fasta tr_4_38.fasta" "tr_1_31.fasta tr_4_39.fasta" "tr_1_31.fasta tr_4_43.fasta" "tr_1_31.fasta tr_4_50.fasta" "tr_1_31.fasta tr_4_57.fasta" "tr_1_31.fasta tr_4_7.fasta" "tr_1_31.fasta tr_4_82.fasta" "tr_1_31.fasta tr_4_83.fasta" "tr_1_31.fasta tr_4_95.fasta" "tr_1_31.fasta tr_4_97.fasta" "tr_1_31.fasta tr_5_2.fasta" "tr_1_31.fasta tr_5_22.fasta" "tr_1_31.fasta tr_5_40.fasta" "tr_1_31.fasta tr_5_43.fasta" "tr_1_31.fasta tr_5_5.fasta" "tr_1_31.fasta tr_5_6.fasta" "tr_1_31.fasta tr_5_9.fasta"
"tr_1_39.fasta" "0.0748130834721967" "0.0995026436084168" "0.0928817228960706" "0.0620678531961673" "0.128650306501312" "0.0768158099379862" "0.124717070362635" "tr_1_39.fasta tr_1_39.fasta" "tr_1_39.fasta tr_1_46.fasta" "tr_1_39.fasta tr_1_71.fasta" "tr_1_39.fasta tr_1_75.fasta" "tr_1_39.fasta tr_1_80.fasta" "tr_1_39.fasta tr_1_81.fasta" "tr_1_39.fasta tr_1_9.fasta" "tr_1_39.fasta tr_1_92.fasta" "tr_1_39.fasta tr_2_35.fasta" "tr_1_39.fasta tr_2_47.fasta" "tr_1_39.fasta tr_2_5.fasta" "tr_1_39.fasta tr_2_61.fasta" "tr_1_39.fasta tr_2_8.fasta" "tr_1_39.fasta tr_2_85.fasta" "tr_1_39.fasta tr_2_93.fasta" "tr_1_39.fasta tr_2_95.fasta" "tr_1_39.fasta tr_2_96.fasta" "tr_1_39.fasta tr_3_18.fasta" "tr_1_39.fasta tr_3_33.fasta" "tr_1_39.fasta tr_3_56.fasta" "tr_1_39.fasta tr_3_61.fasta" "tr_1_39.fasta tr_3_66.fasta" "tr_1_39.fasta tr_3_96.fasta" "tr_1_39.fasta tr_3_98.fasta" "tr_1_39.fasta tr_3_99.fasta" "tr_1_39.fasta tr_4_2.fasta" "tr_1_39.fasta tr_4_38.fasta" "tr_1_39.fasta tr_4_39.fasta" "tr_1_39.fasta tr_4_43.fasta" "tr_1_39.fasta tr_4_50.fasta" "tr_1_39.fasta tr_4_57.fasta" "tr_1_39.fasta tr_4_7.fasta" "tr_1_39.fasta tr_4_82.fasta" "tr_1_39.fasta tr_4_83.fasta" "tr_1_39.fasta tr_4_95.fasta" "tr_1_39.fasta tr_4_97.fasta" "tr_1_39.fasta tr_5_2.fasta" "tr_1_39.fasta tr_5_22.fasta" "tr_1_39.fasta tr_5_40.fasta" "tr_1_39.fasta tr_5_43.fasta" "tr_1_39.fasta tr_5_5.fasta" "tr_1_39.fasta tr_5_6.fasta" "tr_1_39.fasta tr_5_9.fasta"
"tr_1_46.fasta" "0.0608255920645593" "0.0585430497368662" "0.0746412914532424" "0.0708558112247398" "0.0925564180127735" "0.0513715688301746" "0.0961614323938102" "0.0783743991169942" "tr_1_46.fasta tr_1_46.fasta" "tr_1_46.fasta tr_1_71.fasta" "tr_1_46.fasta tr_1_75.fasta" "tr_1_46.fasta tr_1_80.fasta" "tr_1_46.fasta tr_1_81.fasta" "tr_1_46.fasta tr_1_9.fasta" "tr_1_46.fasta tr_1_92.fasta" "tr_1_46.fasta tr_2_35.fasta" "tr_1_46.fasta tr_2_47.fasta" "tr_1_46.fasta tr_2_5.fasta" "tr_1_46.fasta tr_2_61.fasta" "tr_1_46.fasta tr_2_8.fasta" "tr_1_46.fasta tr_2_85.fasta" "tr_1_46.fasta tr_2_93.fasta" "tr_1_46.fasta tr_2_95.fasta" "tr_1_46.fasta tr_2_96.fasta" "tr_1_46.fasta tr_3_18.fasta" "tr_1_46.fasta tr_3_33.fasta" "tr_1_46.fasta tr_3_56.fasta" "tr_1_46.fasta tr_3_61.fasta" "tr_1_46.fasta tr_3_66.fasta" "tr_1_46.fasta tr_3_96.fasta" "tr_1_46.fasta tr_3_98.fasta" "tr_1_46.fasta tr_3_99.fasta" "tr_1_46.fasta tr_4_2.fasta" "tr_1_46.fasta tr_4_38.fasta" "tr_1_46.fasta tr_4_39.fasta" "tr_1_46.fasta tr_4_43.fasta" "tr_1_46.fasta tr_4_50.fasta" "tr_1_46.fasta tr_4_57.fasta" "tr_1_46.fasta tr_4_7.fasta" "tr_1_46.fasta tr_4_82.fasta" "tr_1_46.fasta tr_4_83.fasta" "tr_1_46.fasta tr_4_95.fasta" "tr_1_46.fasta tr_4_97.fasta" "tr_1_46.fasta tr_5_2.fasta" "tr_1_46.fasta tr_5_22.fasta" "tr_1_46.fasta tr_5_40.fasta" "tr_1_46.fasta tr_5_43.fasta" "tr_1_46.fasta tr_5_5.fasta" "tr_1_46.fasta tr_5_6.fasta" "tr_1_46.fasta tr_5_9.fasta"
"tr_1_71.fasta" "0.0370081839139324" "0.0919066702945488" "0.0619866771895789" "0.0616026781718651" "0.10629662238288" "0.0683725321233537" "0.0861900283857746" "0.0785150724413279" "0.0596324609100743" "tr_1_71.fasta tr_1_71.fasta" "tr_1_71.fasta tr_1_75.fasta" "tr_1_71.fasta tr_1_80.fasta" "tr_1_71.fasta tr_1_81.fasta" "tr_1_71.fasta tr_1_9.fasta" "tr_1_71.fasta tr_1_92.fasta" "tr_1_71.fasta tr_2_35.fasta" "tr_1_71.fasta tr_2_47.fasta" "tr_1_71.fasta tr_2_5.fasta" "tr_1_71.fasta tr_2_61.fasta" "tr_1_71.fasta tr_2_8.fasta" "tr_1_71.fasta tr_2_85.fasta" "tr_1_71.fasta tr_2_93.fasta" "tr_1_71.fasta tr_2_95.fasta" "tr_1_71.fasta tr_2_96.fasta" "tr_1_71.fasta tr_3_18.fasta" "tr_1_71.fasta tr_3_33.fasta" "tr_1_71.fasta tr_3_56.fasta" "tr_1_71.fasta tr_3_61.fasta" "tr_1_71.fasta tr_3_66.fasta" "tr_1_71.fasta tr_3_96.fasta" "tr_1_71.fasta tr_3_98.fasta" "tr_1_71.fasta tr_3_99.fasta" "tr_1_71.fasta tr_4_2.fasta" "tr_1_71.fasta tr_4_38.fasta" "tr_1_71.fasta tr_4_39.fasta" "tr_1_71.fasta tr_4_43.fasta" "tr_1_71.fasta tr_4_50.fasta" "tr_1_71.fasta tr_4_57.fasta" "tr_1_71.fasta tr_4_7.fasta" "tr_1_71.fasta tr_4_82.fasta" "tr_1_71.fasta tr_4_83.fasta" "tr_1_71.fasta tr_4_95.fasta" "tr_1_71.fasta tr_4_97.fasta" "tr_1_71.fasta tr_5_2.fasta" "tr_1_71.fasta tr_5_22.fasta" "tr_1_71.fasta tr_5_40.fasta" "tr_1_71.fasta tr_5_43.fasta" "tr_1_71.fasta tr_5_5.fasta" "tr_1_71.fasta tr_5_6.fasta" "tr_1_71.fasta tr_5_9.fasta"
