"V1" "V2"
"tr_1_1.fasta" -10.1164953663321 0.920021145478544
"tr_1_10.fasta" -8.4108140315933 1.45578841364818
"tr_1_100.fasta" -8.71739999557141 3.6609968444039
"tr_1_101.fasta" -9.14551480048123 -1.89924670762737
"tr_1_102.fasta" -9.06742106467977 1.43562222423032
"tr_1_103.fasta" -9.06742106467977 1.4356222242303
"tr_1_104.fasta" -7.25130722062159 -1.66870684719979
"tr_1_105.fasta" -9.7264779012157 0.0494877899954869
"tr_1_106.fasta" -7.00497218645549 -1.33420738354922
"tr_1_107.fasta" -8.38693911771459 3.53208462109817
"tr_1_108.fasta" -8.61051713753738 1.56612941102509
"tr_1_109.fasta" -10.1508446936341 0.759877881390752
"tr_1_11.fasta" -10.1164953663321 0.920021145478542
"tr_1_110.fasta" -8.19839676917262 0.184775664423275
"tr_1_111.fasta" -10.1508446936341 0.759877881390752
"tr_1_112.fasta" -9.00196760509301 1.40261023617631
"tr_1_113.fasta" -9.84941509553058 0.782410311123523
"tr_1_114.fasta" -8.61051713753738 1.56612941102509
"tr_1_115.fasta" -9.06742106467978 1.4356222242303
"tr_1_116.fasta" -8.84938467983168 -1.54022438547147
"tr_1_117.fasta" -7.47849119878355 -0.707368406513548
"tr_1_118.fasta" -10.1508446936341 0.759877881390753
"tr_1_119.fasta" -8.66831023132636 0.143021680498347
"tr_1_12.fasta" -10.5869874077372 0.737027741754856
"tr_1_120.fasta" -8.2555634318276 0.312556046989149
"tr_1_121.fasta" -9.06742106467978 1.4356222242303
"tr_1_122.fasta" -8.21872670811459 -2.26823652219925
"tr_1_123.fasta" -10.5869874077372 0.737027741754857
"tr_1_124.fasta" -9.34679716418719 0.453803170870317
"tr_1_125.fasta" -10.5722800437143 0.508253086596187
"tr_1_126.fasta" -10.1508446936341 0.75987788139075
"tr_1_127.fasta" -8.31309022061385 -2.28347174249862
"tr_1_128.fasta" -9.00196760509301 1.40261023617631
"tr_1_129.fasta" -10.1529851645328 0.523746167189368
"tr_1_13.fasta" -10.2986209959107 0.583923530699227
"tr_1_130.fasta" -7.09552401693615 1.2025672682876
"tr_1_131.fasta" -9.06742106467978 1.4356222242303
"tr_1_132.fasta" -8.04911171372368 1.03902023640378
"tr_1_133.fasta" -8.23510706336965 0.990705124550433
"tr_1_134.fasta" -5.13313642304143 2.12880777803747
"tr_2_1.fasta" -0.575988313320298 -7.57885813682084
"tr_2_10.fasta" -0.931945833253169 -11.9347336668512
"tr_2_100.fasta" 0.121556951757924 -9.67160636785315
"tr_2_11.fasta" -0.693311849312995 -11.5286078918361
"tr_2_12.fasta" 1.11754302670426 -8.9298301320209
"tr_2_13.fasta" -0.870315761261613 -6.8040494688696
"tr_2_14.fasta" -0.178052964730716 -9.00268623587258
"tr_2_15.fasta" 2.82395494335493 -8.30582861535114
"tr_2_16.fasta" -1.99536301881577 -7.6508332487377
"tr_2_17.fasta" 0.7591117277717 -4.82676207048875
"tr_2_18.fasta" -3.09385866993688 -8.09828221119481
"tr_2_19.fasta" 1.06488466597186 -8.60734537694892
"tr_2_2.fasta" -0.710587823379303 -7.23066820443198
"tr_2_20.fasta" 0.194698336381662 -7.91866512494801
"tr_2_21.fasta" 0.807035632931169 -10.0206174362123
"tr_2_22.fasta" -0.575988313320298 -7.57885813682085
"tr_2_23.fasta" -2.78163070012953 -7.76369250263918
"tr_2_24.fasta" -2.02271957908659 -5.59792138399236
"tr_2_25.fasta" -0.388723404023586 -8.81623482263896
"tr_2_26.fasta" -1.75624922593742 -8.4339710220139
"tr_3_1.fasta" 9.56860198010722 -4.13014783193419
"tr_3_10.fasta" 8.72009565037461 -3.19180012826696
"tr_3_100.fasta" 8.67535601702225 -3.2210876637148
"tr_3_11.fasta" 9.11170338525091 -3.60061958709097
"tr_3_12.fasta" 10.4429254043594 -6.23102990103251
"tr_3_13.fasta" 10.2475833019811 -4.55447369244663
"tr_3_14.fasta" 11.8723617455498 -5.45245581386853
"tr_3_15.fasta" 9.30517376514526 -5.31043862068245
"tr_3_16.fasta" 8.26283704015743 -4.48572742150336
