"V1" "V2" "V3"
"tr_1_1.fasta" -0.0112345166043984 -0.0361846412724831 0.0212240758587427
"tr_1_10.fasta" 0.0192558783549219 -0.0462390351474353 0.0105487002840963
"tr_1_100.fasta" 0.0110984717921165 0.0221277237315932 -0.00174006638439001
"tr_1_101.fasta" 0.0272524138819027 -0.0210412473417706 -0.00400429357184686
"tr_1_102.fasta" 0.00920015699014214 -0.0106271409984429 -0.000521977302619168
"tr_1_103.fasta" -0.0609967114284133 0.0144897468989038 0.028563197220641
"tr_1_104.fasta" -0.0239529648460125 -0.0150712008279289 -0.0140059211081977
"tr_1_105.fasta" 0.0371312125532087 -0.0150412181170863 -0.0176021790069031
"tr_1_106.fasta" 0.0460593402873296 0.000851772726246151 -0.0125164598207518
"tr_1_107.fasta" 0.0168824530653087 -0.0155761960182097 0.0278440394847907
"tr_1_108.fasta" 0.0231448252496577 -0.0305281149002758 -0.0421694220133321
"tr_1_109.fasta" 0.0043353958954729 -0.0184080412138749 0.0213335526532936
"tr_1_11.fasta" 0.0140959414354173 0.0277297203841734 -0.0115109833955072
"tr_1_110.fasta" 0.000266659364341989 0.00199858453130494 -0.0268138437725312
"tr_1_111.fasta" -0.0448180049031225 -0.0202128217013362 -0.0325780502977023
"tr_1_112.fasta" -0.00888322083445203 0.0223373265746133 0.017323659306175
"tr_1_113.fasta" 0.00497761742983063 0.0215401938263371 0.00985794008012119
"tr_1_114.fasta" -0.0122074319632432 0.0202963988244973 0.0172249082034087
"tr_1_115.fasta" 0.0229017202102954 -0.0639139100377436 0.00261876492641477
"tr_1_116.fasta" -0.00686610504407499 0.0582114184681455 -0.0483931464307481
"tr_1_117.fasta" -0.0241109073522893 0.0353898935625668 0.02827431668161
"tr_1_118.fasta" 0.0274753140179152 0.0105884052892237 0.019531576363745
"tr_1_119.fasta" 0.0551782052744083 0.0312836243334194 0.0220658736817693
"tr_1_12.fasta" 0.0280216170513205 -0.0205130665298179 0.0269104493152425
"tr_1_120.fasta" -0.0236864527071497 -0.0485111116889236 0.00396035500859372
"tr_1_121.fasta" -0.0265634457620388 0.0310241995118995 -0.0101857670318612
"tr_1_122.fasta" -0.0251194963692352 -0.0162435900465974 -0.00633056603901136
"tr_1_123.fasta" -0.0242213190456582 0.00854339943793649 0.0185194943218075
"tr_1_124.fasta" 0.0148816546289982 0.0152010309536405 0.00387352321895951
"tr_1_125.fasta" -0.0183793767909865 0.0282123293382388 -0.025564423347751
"tr_1_126.fasta" 0.0124836538311883 0.0188950000338939 -0.00033980751672533
