"size" "max_diss" "av_diss" "diameter" "separation"
"1" 11 0.024424782099387 0.0157520599927494 0.0426494680810604 0.00810532159862911
"2" 5 0.0287809543280156 0.0137550564487436 0.0320637376070859 0.0218278724885423
"3" 17 0.0276203276837731 0.0129141765259116 0.0447934196501481 0.00969497468511879
"4" 11 0.0233924686192562 0.0117555295380539 0.0385076054382232 0.00777479672161177
"5" 9 0.0187994594069829 0.0119979354022732 0.0362141107585091 0.0073077284144041
"6" 9 0.0470651149295352 0.0198760506419409 0.0819039786676123 0.0107013234508776
"7" 12 0.0355899653682304 0.0183932291289831 0.0575907773339905 0.0113393347170973
"8" 7 0.0208452606509182 0.0104389447601732 0.034827919509307 0.00777479672161177
"9" 12 0.0352683271337904 0.0160367233665568 0.0453942288495351 0.00827962907536052
"10" 12 0.022509107859607 0.0136890141510552 0.0373556908576215 0.0136131075769311
"11" 10 0.0513254749477737 0.0181524487810139 0.0589014054656132 0.0107013234508776
"12" 10 0.0467961995887202 0.0217275995745167 0.0616769979933992 0.00983296639876468
"13" 8 0.0177869897935834 0.013038662356154 0.0339067192999396 0.0143034431264048
"14" 12 0.0188907241469595 0.0110048041182273 0.0324112249831695 0.0073077284144041
"15" 4 0.0239427688177845 0.015289820881131 0.0341349109851715 0.0189268413389371
"16" 1 0 0 0 0.0752698251455401
