"V1" "V2"
"tr_1_1.fasta" -10.6872232193034 -1.0716882289226
"tr_1_10.fasta" -9.1743447533575 -1.80914045091977
"tr_1_100.fasta" -9.20658431179203 -4.21721885611943
"tr_1_101.fasta" -9.78282010494568 1.3420545588824
"tr_1_102.fasta" -9.69899810768807 -2.06902643612791
"tr_1_103.fasta" -9.69899810768807 -2.06902643612799
"tr_1_104.fasta" -8.05915460052439 1.29690563768772
"tr_1_105.fasta" -10.2511391629097 0.0175977020164458
"tr_1_106.fasta" -7.87506388451681 1.28168399227936
"tr_1_107.fasta" -8.91452610672991 -4.13455798228444
"tr_1_108.fasta" -9.34041157151643 -1.86397237608483
"tr_1_109.fasta" -10.7178675731435 -0.947135696406426
"tr_1_11.fasta" -10.6872232193035 -1.07168822892262
"tr_1_110.fasta" -9.01995229206843 -0.392808818942962
"tr_1_111.fasta" -10.7178675731435 -0.947135696406425
"tr_1_112.fasta" -9.66397951905662 -2.05891944750681
"tr_1_113.fasta" -10.4642305597649 -0.998987602993365
"tr_1_114.fasta" -9.34041157151643 -1.86397237608483
"tr_1_115.fasta" -9.69899810768806 -2.06902643612802
"tr_1_116.fasta" -9.59442122959347 1.38814367751701
"tr_1_117.fasta" -8.35279095093346 0.417273420180363
"tr_1_118.fasta" -10.7178675731435 -0.947135696406424
"tr_1_119.fasta" -9.44908665342885 -0.812314936194865
"tr_1_12.fasta" -11.0136849904998 -1.28496800104881
"tr_1_120.fasta" -9.13246724291631 -0.681490737273781
"tr_1_121.fasta" -9.69899810768806 -2.06902643612802
"tr_1_122.fasta" -8.82667976263292 1.83309188039778
"tr_1_123.fasta" -11.0136849904998 -1.28496800104881
"tr_1_124.fasta" -10.0098887513118 -0.740664715422013
"tr_1_125.fasta" -11.0150913738244 -1.08881689709927
"tr_1_126.fasta" -10.7178675731435 -0.947135696406425
"tr_1_127.fasta" -9.04166140050455 2.39097154852548
"tr_1_128.fasta" -9.66397951905663 -2.05891944750681
"tr_1_129.fasta" -10.6738260060661 -1.17583352955949
"tr_1_13.fasta" -10.761345102801 -1.20288318000244
"tr_1_130.fasta" -7.84737858958551 -1.40322727906467
"tr_1_131.fasta" -9.69899810768806 -2.06902643612802
"tr_1_132.fasta" -8.68636293766266 -1.66376329104552
