"V1" "V2"
"tr_1_1.fasta" "241"
"tr_1_2.fasta" "255"
"tr_1_3.fasta" "233"
"tr_1_4.fasta" "249"
"tr_1_5.fasta" "239"
"tr_1_6.fasta" "259"
"tr_1_7.fasta" "264"
"tr_1_8.fasta" "252"
"tr_1_9.fasta" "248"
"tr_1_10.fasta" "267"
"tr_1_11.fasta" "250"
"tr_1_12.fasta" "240"
"tr_1_13.fasta" "247"
"tr_1_14.fasta" "263"
"tr_1_15.fasta" "242"
"tr_1_16.fasta" "255"
"tr_1_17.fasta" "276"
"tr_1_18.fasta" "238"
"tr_1_19.fasta" "264"
"tr_1_20.fasta" "262"
"tr_1_21.fasta" "254"
"tr_1_22.fasta" "257"
"tr_1_23.fasta" "258"
"tr_1_24.fasta" "231"
"tr_1_25.fasta" "275"
"tr_1_26.fasta" "242"
"tr_1_27.fasta" "241"
"tr_1_28.fasta" "237"
"tr_1_29.fasta" "199"
"tr_1_30.fasta" "218"
"tr_1_31.fasta" "237"
"tr_1_32.fasta" "241"
"tr_1_33.fasta" "259"
"tr_1_34.fasta" "252"
"tr_1_35.fasta" "230"
"tr_1_36.fasta" "218"
"tr_1_37.fasta" "274"
"tr_1_38.fasta" "241"
"tr_1_39.fasta" "229"
"tr_1_40.fasta" "238"
"tr_1_41.fasta" "238"
"tr_1_42.fasta" "273"
"tr_1_43.fasta" "251"
"tr_1_44.fasta" "242"
"tr_1_45.fasta" "252"
"tr_1_46.fasta" "241"
"tr_1_47.fasta" "237"
"tr_1_48.fasta" "266"
"tr_1_49.fasta" "246"
"tr_1_50.fasta" "246"
"tr_1_51.fasta" "257"
"tr_1_52.fasta" "243"
"tr_1_53.fasta" "255"
"tr_1_54.fasta" "255"
"tr_1_55.fasta" "233"
"tr_1_56.fasta" "278"
"tr_1_57.fasta" "228"
"tr_1_58.fasta" "254"
"tr_1_59.fasta" "231"
"tr_1_60.fasta" "257"
"tr_1_61.fasta" "263"
"tr_1_62.fasta" "241"
"tr_1_63.fasta" "250"
"tr_1_64.fasta" "246"
"tr_1_65.fasta" "229"
"tr_1_66.fasta" "253"
"tr_1_67.fasta" "239"
"tr_1_68.fasta" "216"
"tr_1_69.fasta" "248"
"tr_1_70.fasta" "263"
"tr_1_71.fasta" "245"
"tr_1_72.fasta" "242"
"tr_1_73.fasta" "230"
"tr_1_74.fasta" "251"
"tr_1_75.fasta" "262"
"tr_1_76.fasta" "231"
"tr_1_77.fasta" "252"
"tr_1_78.fasta" "266"
"tr_1_79.fasta" "224"
"tr_1_80.fasta" "255"
"tr_1_81.fasta" "237"
"tr_1_82.fasta" "240"
"tr_1_83.fasta" "242"
"tr_1_84.fasta" "243"
"tr_1_85.fasta" "246"
"tr_1_86.fasta" "270"
"tr_1_87.fasta" "234"
"tr_1_88.fasta" "255"
"tr_1_89.fasta" "233"
"tr_1_90.fasta" "241"
"tr_1_91.fasta" "240"
"tr_1_92.fasta" "232"
"tr_1_93.fasta" "239"
"tr_1_94.fasta" "242"
"tr_1_95.fasta" "254"
"tr_1_96.fasta" "240"
"tr_1_97.fasta" "228"
"tr_1_98.fasta" "240"
"tr_1_99.fasta" "266"
"tr_1_100.fasta" "223"
"tr_1_101.fasta" "254"
"tr_1_102.fasta" "248"
"tr_1_103.fasta" "245"
"tr_1_104.fasta" "258"
"tr_1_105.fasta" "242"
"tr_1_106.fasta" "233"
"tr_1_107.fasta" "232"
"tr_1_108.fasta" "253"
"tr_1_109.fasta" "259"
"tr_1_110.fasta" "276"
"tr_1_111.fasta" "232"
"tr_1_112.fasta" "230"
"tr_1_113.fasta" "251"
"tr_1_114.fasta" "237"
"tr_1_115.fasta" "269"
"tr_1_116.fasta" "268"
"tr_1_117.fasta" "239"
"tr_1_118.fasta" "244"
"tr_1_119.fasta" "235"
"tr_1_120.fasta" "237"
"tr_1_121.fasta" "234"
"tr_1_122.fasta" "248"
"tr_1_123.fasta" "239"
"tr_1_124.fasta" "263"
"tr_1_125.fasta" "241"
"tr_1_126.fasta" "256"
"tr_1_127.fasta" "232"
"tr_1_128.fasta" "237"
"tr_1_129.fasta" "272"
"tr_1_130.fasta" "238"
"tr_1_131.fasta" "228"
"tr_1_132.fasta" "230"
"tr_1_133.fasta" "253"
"tr_1_134.fasta" "257"
"tr_1_135.fasta" "243"
"tr_1_136.fasta" "251"
"tr_1_137.fasta" "253"
"tr_1_138.fasta" "247"
"tr_1_139.fasta" "243"
"tr_1_140.fasta" "254"
"tr_1_141.fasta" "265"
"tr_1_142.fasta" "258"
"tr_1_143.fasta" "235"
"tr_1_144.fasta" "230"
"tr_1_145.fasta" "284"
"tr_1_146.fasta" "260"
"tr_1_147.fasta" "234"
"tr_1_148.fasta" "227"
"tr_1_149.fasta" "238"
"tr_1_150.fasta" "245"
"tr_2_1.fasta" "252"
"tr_2_2.fasta" "242"
"tr_2_3.fasta" "222"
"tr_2_4.fasta" "252"
"tr_2_5.fasta" "222"
"tr_2_6.fasta" "241"
"tr_2_7.fasta" "249"
"tr_2_8.fasta" "247"
"tr_2_9.fasta" "248"
