"tr_5_pm_1_1.fasta" "tr_5_pm_1_10.fasta" "tr_5_pm_1_11.fasta" "tr_5_pm_1_12.fasta" "tr_5_pm_1_13.fasta" "tr_5_pm_1_14.fasta" "tr_5_pm_1_15.fasta" "tr_5_pm_1_16.fasta" "tr_5_pm_1_17.fasta" "tr_5_pm_1_18.fasta" "tr_5_pm_1_19.fasta" "tr_5_pm_1_2.fasta" "tr_5_pm_1_20.fasta" "tr_5_pm_1_21.fasta" "tr_5_pm_1_22.fasta" "tr_5_pm_1_23.fasta" "tr_5_pm_1_24.fasta" "tr_5_pm_1_25.fasta" "tr_5_pm_1_26.fasta" "tr_5_pm_1_27.fasta" "tr_5_pm_1_28.fasta" "tr_5_pm_1_29.fasta" "tr_5_pm_1_3.fasta" "tr_5_pm_1_30.fasta" "tr_5_pm_1_31.fasta" "tr_5_pm_1_32.fasta" "tr_5_pm_1_33.fasta" "tr_5_pm_1_34.fasta" "tr_5_pm_1_35.fasta" "tr_5_pm_1_36.fasta" "tr_5_pm_1_37.fasta" "tr_5_pm_1_38.fasta" "tr_5_pm_1_39.fasta" "tr_5_pm_1_4.fasta" "tr_5_pm_1_40.fasta" "tr_5_pm_1_5.fasta" "tr_5_pm_1_6.fasta" "tr_5_pm_1_7.fasta" "tr_5_pm_1_8.fasta" "tr_5_pm_1_9.fasta" "tr_5_pm_2_1.fasta" "tr_5_pm_2_10.fasta" "tr_5_pm_2_11.fasta" "tr_5_pm_2_12.fasta" "tr_5_pm_2_13.fasta" "tr_5_pm_2_14.fasta" "tr_5_pm_2_15.fasta" "tr_5_pm_2_16.fasta" "tr_5_pm_2_17.fasta" "tr_5_pm_2_18.fasta" "tr_5_pm_2_19.fasta" "tr_5_pm_2_2.fasta" "tr_5_pm_2_20.fasta" "tr_5_pm_2_21.fasta" "tr_5_pm_2_22.fasta" "tr_5_pm_2_23.fasta" "tr_5_pm_2_24.fasta" "tr_5_pm_2_25.fasta" "tr_5_pm_2_26.fasta" "tr_5_pm_2_27.fasta" "tr_5_pm_2_28.fasta" "tr_5_pm_2_29.fasta" "tr_5_pm_2_3.fasta" "tr_5_pm_2_30.fasta" "tr_5_pm_2_4.fasta" "tr_5_pm_2_5.fasta" "tr_5_pm_2_6.fasta" "tr_5_pm_2_7.fasta" "tr_5_pm_2_8.fasta" "tr_5_pm_2_9.fasta" "tr_5_pm_3_1.fasta" "tr_5_pm_3_10.fasta" "tr_5_pm_3_11.fasta" "tr_5_pm_3_12.fasta" "tr_5_pm_3_13.fasta" "tr_5_pm_3_14.fasta" "tr_5_pm_3_15.fasta" "tr_5_pm_3_16.fasta" "tr_5_pm_3_17.fasta" "tr_5_pm_3_18.fasta" "tr_5_pm_3_19.fasta" "tr_5_pm_3_2.fasta" "tr_5_pm_3_20.fasta" "tr_5_pm_3_3.fasta" "tr_5_pm_3_4.fasta" "tr_5_pm_3_5.fasta" "tr_5_pm_3_6.fasta" "tr_5_pm_3_7.fasta" "tr_5_pm_3_8.fasta" "tr_5_pm_3_9.fasta"
"tr_5_pm_1_1.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_1.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_10.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_11.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_12.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_13.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_14.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_15.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_16.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_17.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_18.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_19.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_2.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_20.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_21.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_22.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_23.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_24.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_25.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_26.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_27.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_28.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_29.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_3.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_30.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_31.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_32.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_33.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_34.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_35.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_36.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_37.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_38.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_39.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_4.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_40.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_5.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_6.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_7.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_8.fasta" "tr_5_pm_1_1.fasta tr_5_pm_1_9.fasta" "tr_5_pm_1_1.fasta tr_5_pm_2_1.fasta" "tr_5_pm_1_1.fasta tr_5_pm_2_10.fasta" "tr_5_pm_1_1.fasta tr_5_pm_2_11.fasta" "tr_5_pm_1_1.fasta tr_5_pm_2_12.fasta" "tr_5_pm_1_1.fasta tr_5_pm_2_13.fasta" "tr_5_pm_1_1.fasta tr_5_pm_2_14.fasta" "tr_5_pm_1_1.fasta tr_5_pm_2_15.fasta" "tr_5_pm_1_1.fasta tr_5_pm_2_16.fasta" "tr_5_pm_1_1.fasta tr_5_pm_2_17.fasta" "tr_5_pm_1_1.fasta tr_5_pm_2_18.fasta" "tr_5_pm_1_1.fasta tr_5_pm_2_19.fasta" "tr_5_pm_1_1.fasta tr_5_pm_2_2.fasta" "tr_5_pm_1_1.fasta tr_5_pm_2_20.fasta" "tr_5_pm_1_1.fasta tr_5_pm_2_21.fasta" "tr_5_pm_1_1.fasta tr_5_pm_2_22.fasta" "tr_5_pm_1_1.fasta tr_5_pm_2_23.fasta" "tr_5_pm_1_1.fasta tr_5_pm_2_24.fasta" "tr_5_pm_1_1.fasta tr_5_pm_2_25.fasta" "tr_5_pm_1_1.fasta tr_5_pm_2_26.fasta" "tr_5_pm_1_1.fasta tr_5_pm_2_27.fasta" "tr_5_pm_1_1.fasta tr_5_pm_2_28.fasta" "tr_5_pm_1_1.fasta tr_5_pm_2_29.fasta" "tr_5_pm_1_1.fasta tr_5_pm_2_3.fasta" "tr_5_pm_1_1.fasta tr_5_pm_2_30.fasta" "tr_5_pm_1_1.fasta tr_5_pm_2_4.fasta" "tr_5_pm_1_1.fasta tr_5_pm_2_5.fasta" "tr_5_pm_1_1.fasta tr_5_pm_2_6.fasta" "tr_5_pm_1_1.fasta tr_5_pm_2_7.fasta" "tr_5_pm_1_1.fasta tr_5_pm_2_8.fasta" "tr_5_pm_1_1.fasta tr_5_pm_2_9.fasta" "tr_5_pm_1_1.fasta tr_5_pm_3_1.fasta" "tr_5_pm_1_1.fasta tr_5_pm_3_10.fasta" "tr_5_pm_1_1.fasta tr_5_pm_3_11.fasta" "tr_5_pm_1_1.fasta tr_5_pm_3_12.fasta" "tr_5_pm_1_1.fasta tr_5_pm_3_13.fasta" "tr_5_pm_1_1.fasta tr_5_pm_3_14.fasta" "tr_5_pm_1_1.fasta tr_5_pm_3_15.fasta" "tr_5_pm_1_1.fasta tr_5_pm_3_16.fasta" "tr_5_pm_1_1.fasta tr_5_pm_3_17.fasta" "tr_5_pm_1_1.fasta tr_5_pm_3_18.fasta" "tr_5_pm_1_1.fasta tr_5_pm_3_19.fasta" "tr_5_pm_1_1.fasta tr_5_pm_3_2.fasta" "tr_5_pm_1_1.fasta tr_5_pm_3_20.fasta" "tr_5_pm_1_1.fasta tr_5_pm_3_3.fasta" "tr_5_pm_1_1.fasta tr_5_pm_3_4.fasta" "tr_5_pm_1_1.fasta tr_5_pm_3_5.fasta" "tr_5_pm_1_1.fasta tr_5_pm_3_6.fasta" "tr_5_pm_1_1.fasta tr_5_pm_3_7.fasta" "tr_5_pm_1_1.fasta tr_5_pm_3_8.fasta" "tr_5_pm_1_1.fasta tr_5_pm_3_9.fasta"
"tr_5_pm_1_10.fasta" "0.0248457019557657" "tr_5_pm_1_10.fasta tr_5_pm_1_10.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_11.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_12.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_13.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_14.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_15.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_16.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_17.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_18.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_19.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_2.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_20.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_21.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_22.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_23.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_24.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_25.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_26.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_27.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_28.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_29.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_3.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_30.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_31.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_32.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_33.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_34.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_35.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_36.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_37.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_38.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_39.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_4.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_40.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_5.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_6.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_7.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_8.fasta" "tr_5_pm_1_10.fasta tr_5_pm_1_9.fasta" "tr_5_pm_1_10.fasta tr_5_pm_2_1.fasta" "tr_5_pm_1_10.fasta tr_5_pm_2_10.fasta" "tr_5_pm_1_10.fasta tr_5_pm_2_11.fasta" "tr_5_pm_1_10.fasta tr_5_pm_2_12.fasta" "tr_5_pm_1_10.fasta tr_5_pm_2_13.fasta" "tr_5_pm_1_10.fasta tr_5_pm_2_14.fasta" "tr_5_pm_1_10.fasta tr_5_pm_2_15.fasta" "tr_5_pm_1_10.fasta tr_5_pm_2_16.fasta" "tr_5_pm_1_10.fasta tr_5_pm_2_17.fasta" "tr_5_pm_1_10.fasta tr_5_pm_2_18.fasta" "tr_5_pm_1_10.fasta tr_5_pm_2_19.fasta" "tr_5_pm_1_10.fasta tr_5_pm_2_2.fasta" "tr_5_pm_1_10.fasta tr_5_pm_2_20.fasta" "tr_5_pm_1_10.fasta tr_5_pm_2_21.fasta" "tr_5_pm_1_10.fasta tr_5_pm_2_22.fasta" "tr_5_pm_1_10.fasta tr_5_pm_2_23.fasta" "tr_5_pm_1_10.fasta tr_5_pm_2_24.fasta" "tr_5_pm_1_10.fasta tr_5_pm_2_25.fasta" "tr_5_pm_1_10.fasta tr_5_pm_2_26.fasta" "tr_5_pm_1_10.fasta tr_5_pm_2_27.fasta" "tr_5_pm_1_10.fasta tr_5_pm_2_28.fasta" "tr_5_pm_1_10.fasta tr_5_pm_2_29.fasta" "tr_5_pm_1_10.fasta tr_5_pm_2_3.fasta" "tr_5_pm_1_10.fasta tr_5_pm_2_30.fasta" "tr_5_pm_1_10.fasta tr_5_pm_2_4.fasta" "tr_5_pm_1_10.fasta tr_5_pm_2_5.fasta" "tr_5_pm_1_10.fasta tr_5_pm_2_6.fasta" "tr_5_pm_1_10.fasta tr_5_pm_2_7.fasta" "tr_5_pm_1_10.fasta tr_5_pm_2_8.fasta" "tr_5_pm_1_10.fasta tr_5_pm_2_9.fasta" "tr_5_pm_1_10.fasta tr_5_pm_3_1.fasta" "tr_5_pm_1_10.fasta tr_5_pm_3_10.fasta" "tr_5_pm_1_10.fasta tr_5_pm_3_11.fasta" "tr_5_pm_1_10.fasta tr_5_pm_3_12.fasta" "tr_5_pm_1_10.fasta tr_5_pm_3_13.fasta" "tr_5_pm_1_10.fasta tr_5_pm_3_14.fasta" "tr_5_pm_1_10.fasta tr_5_pm_3_15.fasta" "tr_5_pm_1_10.fasta tr_5_pm_3_16.fasta" "tr_5_pm_1_10.fasta tr_5_pm_3_17.fasta" "tr_5_pm_1_10.fasta tr_5_pm_3_18.fasta" "tr_5_pm_1_10.fasta tr_5_pm_3_19.fasta" "tr_5_pm_1_10.fasta tr_5_pm_3_2.fasta" "tr_5_pm_1_10.fasta tr_5_pm_3_20.fasta" "tr_5_pm_1_10.fasta tr_5_pm_3_3.fasta" "tr_5_pm_1_10.fasta tr_5_pm_3_4.fasta" "tr_5_pm_1_10.fasta tr_5_pm_3_5.fasta" "tr_5_pm_1_10.fasta tr_5_pm_3_6.fasta" "tr_5_pm_1_10.fasta tr_5_pm_3_7.fasta" "tr_5_pm_1_10.fasta tr_5_pm_3_8.fasta" "tr_5_pm_1_10.fasta tr_5_pm_3_9.fasta"
"tr_5_pm_1_11.fasta" "0.0400363979553007" "0.042555189494844" "tr_5_pm_1_11.fasta tr_5_pm_1_11.fasta" "tr_5_pm_1_11.fasta tr_5_pm_1_12.fasta" "tr_5_pm_1_11.fasta tr_5_pm_1_13.fasta" "tr_5_pm_1_11.fasta tr_5_pm_1_14.fasta" "tr_5_pm_1_11.fasta tr_5_pm_1_15.fasta" "tr_5_pm_1_11.fasta tr_5_pm_1_16.fasta" "tr_5_pm_1_11.fasta tr_5_pm_1_17.fasta" "tr_5_pm_1_11.fasta tr_5_pm_1_18.fasta" "tr_5_pm_1_11.fasta tr_5_pm_1_19.fasta" "tr_5_pm_1_11.fasta tr_5_pm_1_2.fasta" "tr_5_pm_1_11.fasta tr_5_pm_1_20.fasta" "tr_5_pm_1_11.fasta tr_5_pm_1_21.fasta" "tr_5_pm_1_11.fasta tr_5_pm_1_22.fasta" "tr_5_pm_1_11.fasta tr_5_pm_1_23.fasta" "tr_5_pm_1_11.fasta tr_5_pm_1_24.fasta" "tr_5_pm_1_11.fasta tr_5_pm_1_25.fasta" "tr_5_pm_1_11.fasta tr_5_pm_1_26.fasta" "tr_5_pm_1_11.fasta tr_5_pm_1_27.fasta" "tr_5_pm_1_11.fasta tr_5_pm_1_28.fasta" "tr_5_pm_1_11.fasta tr_5_pm_1_29.fasta" "tr_5_pm_1_11.fasta tr_5_pm_1_3.fasta" "tr_5_pm_1_11.fasta tr_5_pm_1_30.fasta" "tr_5_pm_1_11.fasta tr_5_pm_1_31.fasta" "tr_5_pm_1_11.fasta tr_5_pm_1_32.fasta" "tr_5_pm_1_11.fasta tr_5_pm_1_33.fasta" "tr_5_pm_1_11.fasta tr_5_pm_1_34.fasta" "tr_5_pm_1_11.fasta tr_5_pm_1_35.fasta" "tr_5_pm_1_11.fasta tr_5_pm_1_36.fasta" "tr_5_pm_1_11.fasta tr_5_pm_1_37.fasta" "tr_5_pm_1_11.fasta tr_5_pm_1_38.fasta" "tr_5_pm_1_11.fasta tr_5_pm_1_39.fasta" "tr_5_pm_1_11.fasta tr_5_pm_1_4.fasta" "tr_5_pm_1_11.fasta tr_5_pm_1_40.fasta" "tr_5_pm_1_11.fasta tr_5_pm_1_5.fasta" "tr_5_pm_1_11.fasta tr_5_pm_1_6.fasta" "tr_5_pm_1_11.fasta tr_5_pm_1_7.fasta" "tr_5_pm_1_11.fasta tr_5_pm_1_8.fasta" "tr_5_pm_1_11.fasta tr_5_pm_1_9.fasta" "tr_5_pm_1_11.fasta tr_5_pm_2_1.fasta" "tr_5_pm_1_11.fasta tr_5_pm_2_10.fasta" "tr_5_pm_1_11.fasta tr_5_pm_2_11.fasta" "tr_5_pm_1_11.fasta tr_5_pm_2_12.fasta" "tr_5_pm_1_11.fasta tr_5_pm_2_13.fasta" "tr_5_pm_1_11.fasta tr_5_pm_2_14.fasta" "tr_5_pm_1_11.fasta tr_5_pm_2_15.fasta" "tr_5_pm_1_11.fasta tr_5_pm_2_16.fasta" "tr_5_pm_1_11.fasta tr_5_pm_2_17.fasta" "tr_5_pm_1_11.fasta tr_5_pm_2_18.fasta" "tr_5_pm_1_11.fasta tr_5_pm_2_19.fasta" "tr_5_pm_1_11.fasta tr_5_pm_2_2.fasta" "tr_5_pm_1_11.fasta tr_5_pm_2_20.fasta" "tr_5_pm_1_11.fasta tr_5_pm_2_21.fasta" "tr_5_pm_1_11.fasta tr_5_pm_2_22.fasta" "tr_5_pm_1_11.fasta tr_5_pm_2_23.fasta" "tr_5_pm_1_11.fasta tr_5_pm_2_24.fasta" "tr_5_pm_1_11.fasta tr_5_pm_2_25.fasta" "tr_5_pm_1_11.fasta tr_5_pm_2_26.fasta" "tr_5_pm_1_11.fasta tr_5_pm_2_27.fasta" "tr_5_pm_1_11.fasta tr_5_pm_2_28.fasta" "tr_5_pm_1_11.fasta tr_5_pm_2_29.fasta" "tr_5_pm_1_11.fasta tr_5_pm_2_3.fasta" "tr_5_pm_1_11.fasta tr_5_pm_2_30.fasta" "tr_5_pm_1_11.fasta tr_5_pm_2_4.fasta" "tr_5_pm_1_11.fasta tr_5_pm_2_5.fasta" "tr_5_pm_1_11.fasta tr_5_pm_2_6.fasta" "tr_5_pm_1_11.fasta tr_5_pm_2_7.fasta" "tr_5_pm_1_11.fasta tr_5_pm_2_8.fasta" "tr_5_pm_1_11.fasta tr_5_pm_2_9.fasta" "tr_5_pm_1_11.fasta tr_5_pm_3_1.fasta" "tr_5_pm_1_11.fasta tr_5_pm_3_10.fasta" "tr_5_pm_1_11.fasta tr_5_pm_3_11.fasta" "tr_5_pm_1_11.fasta tr_5_pm_3_12.fasta" "tr_5_pm_1_11.fasta tr_5_pm_3_13.fasta" "tr_5_pm_1_11.fasta tr_5_pm_3_14.fasta" "tr_5_pm_1_11.fasta tr_5_pm_3_15.fasta" "tr_5_pm_1_11.fasta tr_5_pm_3_16.fasta" "tr_5_pm_1_11.fasta tr_5_pm_3_17.fasta" "tr_5_pm_1_11.fasta tr_5_pm_3_18.fasta" "tr_5_pm_1_11.fasta tr_5_pm_3_19.fasta" "tr_5_pm_1_11.fasta tr_5_pm_3_2.fasta" "tr_5_pm_1_11.fasta tr_5_pm_3_20.fasta" "tr_5_pm_1_11.fasta tr_5_pm_3_3.fasta" "tr_5_pm_1_11.fasta tr_5_pm_3_4.fasta" "tr_5_pm_1_11.fasta tr_5_pm_3_5.fasta" "tr_5_pm_1_11.fasta tr_5_pm_3_6.fasta" "tr_5_pm_1_11.fasta tr_5_pm_3_7.fasta" "tr_5_pm_1_11.fasta tr_5_pm_3_8.fasta" "tr_5_pm_1_11.fasta tr_5_pm_3_9.fasta"
"tr_5_pm_1_12.fasta" "0.0303153768583541" "0.0350841165945348" "0.0287402683959967" "tr_5_pm_1_12.fasta tr_5_pm_1_12.fasta" "tr_5_pm_1_12.fasta tr_5_pm_1_13.fasta" "tr_5_pm_1_12.fasta tr_5_pm_1_14.fasta" "tr_5_pm_1_12.fasta tr_5_pm_1_15.fasta" "tr_5_pm_1_12.fasta tr_5_pm_1_16.fasta" "tr_5_pm_1_12.fasta tr_5_pm_1_17.fasta" "tr_5_pm_1_12.fasta tr_5_pm_1_18.fasta" "tr_5_pm_1_12.fasta tr_5_pm_1_19.fasta" "tr_5_pm_1_12.fasta tr_5_pm_1_2.fasta" "tr_5_pm_1_12.fasta tr_5_pm_1_20.fasta" "tr_5_pm_1_12.fasta tr_5_pm_1_21.fasta" "tr_5_pm_1_12.fasta tr_5_pm_1_22.fasta" "tr_5_pm_1_12.fasta tr_5_pm_1_23.fasta" "tr_5_pm_1_12.fasta tr_5_pm_1_24.fasta" "tr_5_pm_1_12.fasta tr_5_pm_1_25.fasta" "tr_5_pm_1_12.fasta tr_5_pm_1_26.fasta" "tr_5_pm_1_12.fasta tr_5_pm_1_27.fasta" "tr_5_pm_1_12.fasta tr_5_pm_1_28.fasta" "tr_5_pm_1_12.fasta tr_5_pm_1_29.fasta" "tr_5_pm_1_12.fasta tr_5_pm_1_3.fasta" "tr_5_pm_1_12.fasta tr_5_pm_1_30.fasta" "tr_5_pm_1_12.fasta tr_5_pm_1_31.fasta" "tr_5_pm_1_12.fasta tr_5_pm_1_32.fasta" "tr_5_pm_1_12.fasta tr_5_pm_1_33.fasta" "tr_5_pm_1_12.fasta tr_5_pm_1_34.fasta" "tr_5_pm_1_12.fasta tr_5_pm_1_35.fasta" "tr_5_pm_1_12.fasta tr_5_pm_1_36.fasta" "tr_5_pm_1_12.fasta tr_5_pm_1_37.fasta" "tr_5_pm_1_12.fasta tr_5_pm_1_38.fasta" "tr_5_pm_1_12.fasta tr_5_pm_1_39.fasta" "tr_5_pm_1_12.fasta tr_5_pm_1_4.fasta" "tr_5_pm_1_12.fasta tr_5_pm_1_40.fasta" "tr_5_pm_1_12.fasta tr_5_pm_1_5.fasta" "tr_5_pm_1_12.fasta tr_5_pm_1_6.fasta" "tr_5_pm_1_12.fasta tr_5_pm_1_7.fasta" "tr_5_pm_1_12.fasta tr_5_pm_1_8.fasta" "tr_5_pm_1_12.fasta tr_5_pm_1_9.fasta" "tr_5_pm_1_12.fasta tr_5_pm_2_1.fasta" "tr_5_pm_1_12.fasta tr_5_pm_2_10.fasta" "tr_5_pm_1_12.fasta tr_5_pm_2_11.fasta" "tr_5_pm_1_12.fasta tr_5_pm_2_12.fasta" "tr_5_pm_1_12.fasta tr_5_pm_2_13.fasta" "tr_5_pm_1_12.fasta tr_5_pm_2_14.fasta" "tr_5_pm_1_12.fasta tr_5_pm_2_15.fasta" "tr_5_pm_1_12.fasta tr_5_pm_2_16.fasta" "tr_5_pm_1_12.fasta tr_5_pm_2_17.fasta" "tr_5_pm_1_12.fasta tr_5_pm_2_18.fasta" "tr_5_pm_1_12.fasta tr_5_pm_2_19.fasta" "tr_5_pm_1_12.fasta tr_5_pm_2_2.fasta" "tr_5_pm_1_12.fasta tr_5_pm_2_20.fasta" "tr_5_pm_1_12.fasta tr_5_pm_2_21.fasta" "tr_5_pm_1_12.fasta tr_5_pm_2_22.fasta" "tr_5_pm_1_12.fasta tr_5_pm_2_23.fasta" "tr_5_pm_1_12.fasta tr_5_pm_2_24.fasta" "tr_5_pm_1_12.fasta tr_5_pm_2_25.fasta" "tr_5_pm_1_12.fasta tr_5_pm_2_26.fasta" "tr_5_pm_1_12.fasta tr_5_pm_2_27.fasta" "tr_5_pm_1_12.fasta tr_5_pm_2_28.fasta" "tr_5_pm_1_12.fasta tr_5_pm_2_29.fasta" "tr_5_pm_1_12.fasta tr_5_pm_2_3.fasta" "tr_5_pm_1_12.fasta tr_5_pm_2_30.fasta" "tr_5_pm_1_12.fasta tr_5_pm_2_4.fasta" "tr_5_pm_1_12.fasta tr_5_pm_2_5.fasta" "tr_5_pm_1_12.fasta tr_5_pm_2_6.fasta" "tr_5_pm_1_12.fasta tr_5_pm_2_7.fasta" "tr_5_pm_1_12.fasta tr_5_pm_2_8.fasta" "tr_5_pm_1_12.fasta tr_5_pm_2_9.fasta" "tr_5_pm_1_12.fasta tr_5_pm_3_1.fasta" "tr_5_pm_1_12.fasta tr_5_pm_3_10.fasta" "tr_5_pm_1_12.fasta tr_5_pm_3_11.fasta" "tr_5_pm_1_12.fasta tr_5_pm_3_12.fasta" "tr_5_pm_1_12.fasta tr_5_pm_3_13.fasta" "tr_5_pm_1_12.fasta tr_5_pm_3_14.fasta" "tr_5_pm_1_12.fasta tr_5_pm_3_15.fasta" "tr_5_pm_1_12.fasta tr_5_pm_3_16.fasta" "tr_5_pm_1_12.fasta tr_5_pm_3_17.fasta" "tr_5_pm_1_12.fasta tr_5_pm_3_18.fasta" "tr_5_pm_1_12.fasta tr_5_pm_3_19.fasta" "tr_5_pm_1_12.fasta tr_5_pm_3_2.fasta" "tr_5_pm_1_12.fasta tr_5_pm_3_20.fasta" "tr_5_pm_1_12.fasta tr_5_pm_3_3.fasta" "tr_5_pm_1_12.fasta tr_5_pm_3_4.fasta" "tr_5_pm_1_12.fasta tr_5_pm_3_5.fasta" "tr_5_pm_1_12.fasta tr_5_pm_3_6.fasta" "tr_5_pm_1_12.fasta tr_5_pm_3_7.fasta" "tr_5_pm_1_12.fasta tr_5_pm_3_8.fasta" "tr_5_pm_1_12.fasta tr_5_pm_3_9.fasta"
