"A_1" "A_2" "A_3" "A_4" "A_5" "A_6" "A_7" "A_8" "A_9" "A_10" "A_11" "A_12" "A_13" "A_14" "A_15" "A_16" "A_17" "A_18" "A_19" "A_20" "A_21" "A_22" "A_23" "A_24" "A_25" "A_26" "A_27" "A_28" "A_29" "A_30"
"A_1" "A_1 A_1" "A_1 A_2" "A_1 A_3" "A_1 A_4" "A_1 A_5" "A_1 A_6" "A_1 A_7" "A_1 A_8" "A_1 A_9" "A_1 A_10" "A_1 A_11" "A_1 A_12" "A_1 A_13" "A_1 A_14" "A_1 A_15" "A_1 A_16" "A_1 A_17" "A_1 A_18" "A_1 A_19" "A_1 A_20" "A_1 A_21" "A_1 A_22" "A_1 A_23" "A_1 A_24" "A_1 A_25" "A_1 A_26" "A_1 A_27" "A_1 A_28" "A_1 A_29" "A_1 A_30"
"A_2" "0.0253043130970114" "A_2 A_2" "A_2 A_3" "A_2 A_4" "A_2 A_5" "A_2 A_6" "A_2 A_7" "A_2 A_8" "A_2 A_9" "A_2 A_10" "A_2 A_11" "A_2 A_12" "A_2 A_13" "A_2 A_14" "A_2 A_15" "A_2 A_16" "A_2 A_17" "A_2 A_18" "A_2 A_19" "A_2 A_20" "A_2 A_21" "A_2 A_22" "A_2 A_23" "A_2 A_24" "A_2 A_25" "A_2 A_26" "A_2 A_27" "A_2 A_28" "A_2 A_29" "A_2 A_30"
"A_3" "0.034954910389831" "0.0223138576381719" "A_3 A_3" "A_3 A_4" "A_3 A_5" "A_3 A_6" "A_3 A_7" "A_3 A_8" "A_3 A_9" "A_3 A_10" "A_3 A_11" "A_3 A_12" "A_3 A_13" "A_3 A_14" "A_3 A_15" "A_3 A_16" "A_3 A_17" "A_3 A_18" "A_3 A_19" "A_3 A_20" "A_3 A_21" "A_3 A_22" "A_3 A_23" "A_3 A_24" "A_3 A_25" "A_3 A_26" "A_3 A_27" "A_3 A_28" "A_3 A_29" "A_3 A_30"
"A_4" "0.0273976402254425" "0.017819355419726" "0.0252834624914024" "A_4 A_4" "A_4 A_5" "A_4 A_6" "A_4 A_7" "A_4 A_8" "A_4 A_9" "A_4 A_10" "A_4 A_11" "A_4 A_12" "A_4 A_13" "A_4 A_14" "A_4 A_15" "A_4 A_16" "A_4 A_17" "A_4 A_18" "A_4 A_19" "A_4 A_20" "A_4 A_21" "A_4 A_22" "A_4 A_23" "A_4 A_24" "A_4 A_25" "A_4 A_26" "A_4 A_27" "A_4 A_28" "A_4 A_29" "A_4 A_30"
"A_5" "0.0289216060745636" "0.0287444622444575" "0.0330998461895012" "0.0242193982006465" "A_5 A_5" "A_5 A_6" "A_5 A_7" "A_5 A_8" "A_5 A_9" "A_5 A_10" "A_5 A_11" "A_5 A_12" "A_5 A_13" "A_5 A_14" "A_5 A_15" "A_5 A_16" "A_5 A_17" "A_5 A_18" "A_5 A_19" "A_5 A_20" "A_5 A_21" "A_5 A_22" "A_5 A_23" "A_5 A_24" "A_5 A_25" "A_5 A_26" "A_5 A_27" "A_5 A_28" "A_5 A_29" "A_5 A_30"
"A_6" "0.0318024076734854" "0.0201725132992828" "0.027314429729828" "0.0245151862730962" "0.0267463604693168" "A_6 A_6" "A_6 A_7" "A_6 A_8" "A_6 A_9" "A_6 A_10" "A_6 A_11" "A_6 A_12" "A_6 A_13" "A_6 A_14" "A_6 A_15" "A_6 A_16" "A_6 A_17" "A_6 A_18" "A_6 A_19" "A_6 A_20" "A_6 A_21" "A_6 A_22" "A_6 A_23" "A_6 A_24" "A_6 A_25" "A_6 A_26" "A_6 A_27" "A_6 A_28" "A_6 A_29" "A_6 A_30"
"A_7" "0.0298382441628219" "0.0174758777836481" "0.0264252746250164" "0.0202244273438777" "0.0281066883900703" "0.0258725742828043" "A_7 A_7" "A_7 A_8" "A_7 A_9" "A_7 A_10" "A_7 A_11" "A_7 A_12" "A_7 A_13" "A_7 A_14" "A_7 A_15" "A_7 A_16" "A_7 A_17" "A_7 A_18" "A_7 A_19" "A_7 A_20" "A_7 A_21" "A_7 A_22" "A_7 A_23" "A_7 A_24" "A_7 A_25" "A_7 A_26" "A_7 A_27" "A_7 A_28" "A_7 A_29" "A_7 A_30"
"A_8" "0.0238386541862997" "0.020259922574054" "0.0342415679113217" "0.0176967090791956" "0.0281723287351059" "0.0261037236013572" "0.0214553773458788" "A_8 A_8" "A_8 A_9" "A_8 A_10" "A_8 A_11" "A_8 A_12" "A_8 A_13" "A_8 A_14" "A_8 A_15" "A_8 A_16" "A_8 A_17" "A_8 A_18" "A_8 A_19" "A_8 A_20" "A_8 A_21" "A_8 A_22" "A_8 A_23" "A_8 A_24" "A_8 A_25" "A_8 A_26" "A_8 A_27" "A_8 A_28" "A_8 A_29" "A_8 A_30"
"A_9" "0.0250492252130602" "0.017183356672622" "0.0272981249339322" "0.0207746125114181" "0.0280104085179637" "0.0180726281770302" "0.027002303439475" "0.0226904271295156" "A_9 A_9" "A_9 A_10" "A_9 A_11" "A_9 A_12" "A_9 A_13" "A_9 A_14" "A_9 A_15" "A_9 A_16" "A_9 A_17" "A_9 A_18" "A_9 A_19" "A_9 A_20" "A_9 A_21" "A_9 A_22" "A_9 A_23" "A_9 A_24" "A_9 A_25" "A_9 A_26" "A_9 A_27" "A_9 A_28" "A_9 A_29" "A_9 A_30"
"A_10" "0.0230371389580782" "0.0201776945075678" "0.0326200355537229" "0.0198111671966887" "0.0263095757461442" "0.0258748615010824" "0.0243559619370001" "0.0196486713374115" "0.0247566738173283" "A_10 A_10" "A_10 A_11" "A_10 A_12" "A_10 A_13" "A_10 A_14" "A_10 A_15" "A_10 A_16" "A_10 A_17" "A_10 A_18" "A_10 A_19" "A_10 A_20" "A_10 A_21" "A_10 A_22" "A_10 A_23" "A_10 A_24" "A_10 A_25" "A_10 A_26" "A_10 A_27" "A_10 A_28" "A_10 A_29" "A_10 A_30"
"A_11" "0.0984058439021023" "0.0850957936104625" "0.0817413137626606" "0.0883506852529566" "0.0924155259443386" "0.0839922723579757" "0.0888759343883212" "0.0879557262333934" "0.0848234358418836" "0.0952846889064007" "A_11 A_11" "A_11 A_12" "A_11 A_13" "A_11 A_14" "A_11 A_15" "A_11 A_16" "A_11 A_17" "A_11 A_18" "A_11 A_19" "A_11 A_20" "A_11 A_21" "A_11 A_22" "A_11 A_23" "A_11 A_24" "A_11 A_25" "A_11 A_26" "A_11 A_27" "A_11 A_28" "A_11 A_29" "A_11 A_30"
"A_12" "0.0979590002418793" "0.085730321915162" "0.0830775398514272" "0.0875544396327886" "0.0928440218193086" "0.0839871954909441" "0.0905702991238097" "0.0873085867308705" "0.0852598095944171" "0.0948368798734036" "0.019595458887199" "A_12 A_12" "A_12 A_13" "A_12 A_14" "A_12 A_15" "A_12 A_16" "A_12 A_17" "A_12 A_18" "A_12 A_19" "A_12 A_20" "A_12 A_21" "A_12 A_22" "A_12 A_23" "A_12 A_24" "A_12 A_25" "A_12 A_26" "A_12 A_27" "A_12 A_28" "A_12 A_29" "A_12 A_30"
