"A_1" "A_2" "A_3" "A_4" "A_5" "A_6" "A_7" "A_8" "A_9" "A_10" "A_11" "A_12" "A_13" "A_14" "A_15" "A_16" "A_17" "A_18" "A_19" "A_20" "A_21" "A_22" "A_23" "A_24" "A_25" "A_26" "A_27" "A_28" "A_29" "A_30"
"A_13" "0.0976208505605578" "0.085656201757376" "0.0810418210770234" "0.088851593787777" "0.0952645638111537" "0.0856338553407269" "0.090573983148215" "0.0883103307417614" "0.0858709604245598" "0.0958845147063929" "0.0219527001148172" "0.0202025828144927" "A_13 A_13" "A_13 A_14" "A_13 A_15" "A_13 A_16" "A_13 A_17" "A_13 A_18" "A_13 A_19" "A_13 A_20" "A_13 A_21" "A_13 A_22" "A_13 A_23" "A_13 A_24" "A_13 A_25" "A_13 A_26" "A_13 A_27" "A_13 A_28" "A_13 A_29" "A_13 A_30"
"A_14" "0.0968772720858575" "0.0872000365021598" "0.0820583363776306" "0.0887030796303082" "0.089915121215105" "0.0847299626340008" "0.0910188137067135" "0.0883655081943428" "0.0866903495783216" "0.0963235834642967" "0.0247136100549982" "0.0212527049744436" "0.0264215748560399" "A_14 A_14" "A_14 A_15" "A_14 A_16" "A_14 A_17" "A_14 A_18" "A_14 A_19" "A_14 A_20" "A_14 A_21" "A_14 A_22" "A_14 A_23" "A_14 A_24" "A_14 A_25" "A_14 A_26" "A_14 A_27" "A_14 A_28" "A_14 A_29" "A_14 A_30"
"A_15" "0.0934987954946753" "0.0838492882435696" "0.0800350870171184" "0.0853586219244673" "0.0913234711288421" "0.0834361780221274" "0.0879584764131157" "0.0848891021770803" "0.0817725367346066" "0.0930798983288493" "0.0215473056363073" "0.0190824046714096" "0.0218438315284588" "0.0265479310375401" "A_15 A_15" "A_15 A_16" "A_15 A_17" "A_15 A_18" "A_15 A_19" "A_15 A_20" "A_15 A_21" "A_15 A_22" "A_15 A_23" "A_15 A_24" "A_15 A_25" "A_15 A_26" "A_15 A_27" "A_15 A_28" "A_15 A_29" "A_15 A_30"
"A_16" "0.0924714620416262" "0.0796955008565482" "0.0750322068881006" "0.0802214969705189" "0.0853822226472287" "0.0776529938826431" "0.0830358863008395" "0.080457799525842" "0.0785799733504124" "0.0896881679284596" "0.0255673862271217" "0.0249545282572274" "0.0273415654886225" "0.0251894675170418" "0.0256021437042824" "A_16 A_16" "A_16 A_17" "A_16 A_18" "A_16 A_19" "A_16 A_20" "A_16 A_21" "A_16 A_22" "A_16 A_23" "A_16 A_24" "A_16 A_25" "A_16 A_26" "A_16 A_27" "A_16 A_28" "A_16 A_29" "A_16 A_30"
"A_17" "0.0923938131164841" "0.0792854008967628" "0.0746195952246747" "0.0811404357550379" "0.0892468664278199" "0.0796589863631813" "0.0841036768893556" "0.0815783987647925" "0.0785086685944861" "0.0895630579071154" "0.0276772318556224" "0.0314509172543325" "0.026506422995366" "0.0375661163124758" "0.0277505378035837" "0.0268917804771698" "A_17 A_17" "A_17 A_18" "A_17 A_19" "A_17 A_20" "A_17 A_21" "A_17 A_22" "A_17 A_23" "A_17 A_24" "A_17 A_25" "A_17 A_26" "A_17 A_27" "A_17 A_28" "A_17 A_29" "A_17 A_30"
"A_18" "0.105664080789407" "0.0909304852506388" "0.0866871416878686" "0.094742672924288" "0.0991116963090882" "0.0906703644783428" "0.0966776588503905" "0.0953070157463538" "0.0923211682486511" "0.100703232722478" "0.0245161223890766" "0.0211642873744038" "0.0283412167940663" "0.028364101384128" "0.0309711709797757" "0.0318850715352322" "0.0359749494715708" "A_18 A_18" "A_18 A_19" "A_18 A_20" "A_18 A_21" "A_18 A_22" "A_18 A_23" "A_18 A_24" "A_18 A_25" "A_18 A_26" "A_18 A_27" "A_18 A_28" "A_18 A_29" "A_18 A_30"
"A_19" "0.101570861845386" "0.088157153703728" "0.0843289377896586" "0.0900962137407309" "0.0942247817268203" "0.0845930524741586" "0.0937354744268376" "0.0905717725220359" "0.0867594751403528" "0.0968181870528371" "0.0264235240149135" "0.0192122644240894" "0.029584549830237" "0.0253194763149548" "0.0283848107360929" "0.0244338578131891" "0.034401994334789" "0.020361001622872" "A_19 A_19" "A_19 A_20" "A_19 A_21" "A_19 A_22" "A_19 A_23" "A_19 A_24" "A_19 A_25" "A_19 A_26" "A_19 A_27" "A_19 A_28" "A_19 A_29" "A_19 A_30"
"A_20" "0.107781823515844" "0.0930722874705092" "0.0901613648171749" "0.0939283663257381" "0.0994576745305272" "0.0899050637587745" "0.0972566223298627" "0.0937774215518861" "0.0922820713141396" "0.102089275420745" "0.0266751232932678" "0.0231888072538998" "0.0301664222454497" "0.0304888608790229" "0.0345901367180772" "0.0252178345409162" "0.031626580364397" "0.0303637801322902" "0.0231263681881603" "A_20 A_20" "A_20 A_21" "A_20 A_22" "A_20 A_23" "A_20 A_24" "A_20 A_25" "A_20 A_26" "A_20 A_27" "A_20 A_28" "A_20 A_29" "A_20 A_30"
"A_21" "0.0813600611445516" "0.0719845280030405" "0.0705674380932468" "0.0682816283932579" "0.0779392059827885" "0.0704767017198671" "0.0748763560771836" "0.0701721484508364" "0.0704109915103929" "0.0812871589479003" "0.0544579834766079" "0.0477586014335525" "0.053924473577441" "0.0503466681588697" "0.0482517443019583" "0.0477813025391551" "0.0559981511647324" "0.0629037668699647" "0.0543624091572144" "0.0568313190681919" "A_21 A_21" "A_21 A_22" "A_21 A_23" "A_21 A_24" "A_21 A_25" "A_21 A_26" "A_21 A_27" "A_21 A_28" "A_21 A_29" "A_21 A_30"
"A_22" "0.0733069212619116" "0.0685073224661824" "0.0664018145846585" "0.0637899081788443" "0.070136435075376" "0.0663124664304742" "0.0703299636679582" "0.0663663554545911" "0.0652472490622311" "0.0777028426369615" "0.068895876656681" "0.0651498159343977" "0.0685937802787823" "0.0624383828562139" "0.0637645753314199" "0.0626003775538034" "0.0704702723746544" "0.0799581962793659" "0.0715605023359515" "0.0729847454524521" "0.0254521702290034" "A_22 A_22" "A_22 A_23" "A_22 A_24" "A_22 A_25" "A_22 A_26" "A_22 A_27" "A_22 A_28" "A_22 A_29" "A_22 A_30"
"A_23" "0.0835821427974082" "0.0730529588914937" "0.0714783600104512" "0.0720274640552407" "0.0769555823496684" "0.068729063356795" "0.0750218593891237" "0.0717279093958841" "0.0716774680842046" "0.0833412219978286" "0.0483353675874736" "0.0439588530858842" "0.0515200294719379" "0.0425330243985224" "0.0479786949351977" "0.0441547172809802" "0.0545403723829452" "0.0573645679390015" "0.0489114555653439" "0.0492128822084556" "0.0233709805705273" "0.0315265320406037" "A_23 A_23" "A_23 A_24" "A_23 A_25" "A_23 A_26" "A_23 A_27" "A_23 A_28" "A_23 A_29" "A_23 A_30"
"A_24" "0.0818535365936842" "0.0718328352916712" "0.0701282379314585" "0.068219043194061" "0.0771911351447144" "0.0681276433401853" "0.0740856041220899" "0.0697695724110774" "0.0679555292620798" "0.0811705601444223" "0.0540931115265345" "0.0501676182792028" "0.0567251637190074" "0.052844024743135" "0.0491615899977485" "0.046238790865892" "0.0566794393911956" "0.0644458636928788" "0.053988909680422" "0.0557960527463473" "0.0169519493692056" "0.0280129999318706" "0.023812298207606" "A_24 A_24" "A_24 A_25" "A_24 A_26" "A_24 A_27" "A_24 A_28" "A_24 A_29" "A_24 A_30"
"A_25" "0.0761532125100142" "0.0660219976392287" "0.0645943578715858" "0.0637867768382118" "0.0710343080987962" "0.0629895989192148" "0.0697007182090718" "0.0668711815488051" "0.0631524153837981" "0.077266350434912" "0.0559817631925136" "0.0530220743278196" "0.0587305511195038" "0.0535921878299396" "0.0539375610089553" "0.050745838542093" "0.0595803591538993" "0.0670794809537664" "0.0593656834062544" "0.0594658936810268" "0.024272775594248" "0.0223371630304241" "0.0252791309108458" "0.02148661944434" "A_25 A_25" "A_25 A_26" "A_25 A_27" "A_25 A_28" "A_25 A_29" "A_25 A_30"
"A_26" "0.0827496071988996" "0.074306762381244" "0.0720485604532827" "0.0699874835265702" "0.0797914612427251" "0.0710070541308432" "0.0771920575276707" "0.0733042971027586" "0.0713109922763717" "0.0838161921415159" "0.0652976262719379" "0.0581048015968573" "0.0647488073836783" "0.0611718989464801" "0.0582113786519994" "0.0564287631701563" "0.0675390347105487" "0.0731651340333488" "0.0644209550897993" "0.0674913500731459" "0.0215835825127122" "0.0269609880611976" "0.0337985654789009" "0.0198894929150341" "0.0231090389114629" "A_26 A_26" "A_26 A_27" "A_26 A_28" "A_26 A_29" "A_26 A_30"
"A_27" "0.084384383563695" "0.0759552799853263" "0.076221391909437" "0.0742065713644065" "0.0819734117161549" "0.0707692151691665" "0.0816944595526579" "0.0763812804371117" "0.0706932888248746" "0.0861137989548468" "0.0666447199733919" "0.0595259033782288" "0.0674578985417966" "0.0621111100450027" "0.0609044301742343" "0.0599605999749942" "0.0695653027630513" "0.0738316661599744" "0.0620575350911549" "0.0670195406761001" "0.029140379376009" "0.0309832678280049" "0.0325183771072564" "0.0248560141767378" "0.0255728594923961" "0.0251659395543023" "A_27 A_27" "A_27 A_28" "A_27 A_29" "A_27 A_30"
"A_28" "0.091635053812796" "0.0799498829825708" "0.0781999804761068" "0.0774398840586429" "0.0869295231792512" "0.0786135445820201" "0.083148876211872" "0.0782959919194715" "0.0792410989979375" "0.0905013676768792" "0.0514474728438533" "0.0441133059803233" "0.0513435570218943" "0.0470643656139815" "0.0480084890705012" "0.0428236274509741" "0.0547584272343894" "0.0575588751563209" "0.0507781917701111" "0.0492907131641801" "0.0203288905891952" "0.0358792089090795" "0.0232607614666021" "0.0213455529153633" "0.0275788396173852" "0.0263679493865233" "0.034146147949177" "A_28 A_28" "A_28 A_29" "A_28 A_30"
"A_29" "0.0908342388259421" "0.0782867556251008" "0.0731244265682854" "0.0772082576635197" "0.0825051322744674" "0.0732446226070897" "0.0826698296601664" "0.0812494251168559" "0.0757079627130823" "0.0903643864313457" "0.0533889178404304" "0.0511387988545714" "0.057367311453906" "0.0502385901611536" "0.0549770078889928" "0.0485268102668801" "0.0582716405790057" "0.0607697233205711" "0.0536557273544236" "0.0552110899960045" "0.0332297386261687" "0.037015359565989" "0.028857714173113" "0.0288622278071557" "0.0253029997438756" "0.0314490734771493" "0.0328987608742743" "0.0293733068626768" "A_29 A_29" "A_29 A_30"
"A_30" "0.0829272663615583" "0.0724793385208834" "0.071893789892306" "0.0707384962642478" "0.0770567601242786" "0.0681984606819201" "0.0764686947508578" "0.072028903530415" "0.0690873981861704" "0.0826912857234365" "0.0495170349371906" "0.0429947706628527" "0.0496061231537639" "0.0468121201885184" "0.0465377821685938" "0.0454456852584627" "0.0538213142896214" "0.0593416786261264" "0.050150222631735" "0.0510260618240864" "0.0207573558950178" "0.0307145942131795" "0.0220432257016115" "0.0233055887994236" "0.0236228651745233" "0.0280721069247815" "0.0288240962635916" "0.0263204409857994" "0.0285584587918557" "A_30 A_30"
