"V1" "V2"
"tr_1_pm_1_1.fasta" "262"
"tr_1_pm_1_2.fasta" "230"
"tr_1_pm_1_3.fasta" "242"
"tr_1_pm_1_4.fasta" "280"
"tr_1_pm_1_5.fasta" "246"
"tr_1_pm_1_6.fasta" "235"
"tr_1_pm_1_7.fasta" "253"
"tr_1_pm_1_8.fasta" "262"
"tr_1_pm_1_9.fasta" "230"
"tr_1_pm_1_10.fasta" "232"
"tr_1_pm_1_11.fasta" "224"
"tr_1_pm_1_12.fasta" "244"
"tr_1_pm_1_13.fasta" "261"
"tr_1_pm_1_14.fasta" "270"
"tr_1_pm_1_15.fasta" "266"
"tr_1_pm_1_16.fasta" "265"
"tr_1_pm_1_17.fasta" "232"
"tr_1_pm_1_18.fasta" "244"
"tr_1_pm_1_19.fasta" "227"
"tr_1_pm_1_20.fasta" "252"
"tr_1_pm_1_21.fasta" "253"
"tr_1_pm_1_22.fasta" "234"
"tr_1_pm_1_23.fasta" "234"
"tr_1_pm_1_24.fasta" "253"
"tr_1_pm_1_25.fasta" "243"
"tr_1_pm_1_26.fasta" "226"
"tr_1_pm_1_27.fasta" "247"
"tr_1_pm_1_28.fasta" "244"
"tr_1_pm_1_29.fasta" "261"
"tr_1_pm_1_30.fasta" "251"
"tr_1_pm_1_31.fasta" "221"
"tr_1_pm_1_32.fasta" "245"
"tr_1_pm_1_33.fasta" "246"
"tr_1_pm_1_34.fasta" "234"
"tr_1_pm_1_35.fasta" "230"
"tr_1_pm_1_36.fasta" "253"
"tr_1_pm_1_37.fasta" "259"
"tr_1_pm_1_38.fasta" "231"
"tr_1_pm_1_39.fasta" "237"
"tr_1_pm_1_40.fasta" "238"
"tr_1_pm_1_41.fasta" "235"
"tr_1_pm_1_42.fasta" "242"
"tr_1_pm_1_43.fasta" "244"
"tr_1_pm_1_44.fasta" "241"
"tr_1_pm_1_45.fasta" "234"
"tr_1_pm_1_46.fasta" "236"
"tr_1_pm_1_47.fasta" "242"
"tr_1_pm_1_48.fasta" "247"
"tr_1_pm_1_49.fasta" "260"
"tr_1_pm_1_50.fasta" "254"
"tr_1_pm_2_1.fasta" "268"
"tr_1_pm_2_2.fasta" "257"
"tr_1_pm_2_3.fasta" "240"
"tr_1_pm_2_4.fasta" "244"
"tr_1_pm_2_5.fasta" "244"
"tr_1_pm_2_6.fasta" "269"
"tr_1_pm_2_7.fasta" "269"
"tr_1_pm_2_8.fasta" "251"
"tr_1_pm_2_9.fasta" "247"
"tr_1_pm_2_10.fasta" "253"
"tr_1_pm_2_11.fasta" "235"
"tr_1_pm_2_12.fasta" "245"
"tr_1_pm_2_13.fasta" "261"
"tr_1_pm_2_14.fasta" "247"
