"V1" "V2"
"tr_2_pm_1_32.fasta" "436"
"tr_2_pm_1_33.fasta" "428"
"tr_2_pm_1_34.fasta" "441"
"tr_2_pm_1_35.fasta" "392"
"tr_2_pm_1_36.fasta" "410"
"tr_2_pm_1_37.fasta" "419"
"tr_2_pm_1_38.fasta" "433"
"tr_2_pm_1_39.fasta" "387"
"tr_2_pm_1_40.fasta" "419"
"tr_2_pm_2_1.fasta" "426"
"tr_2_pm_2_2.fasta" "424"
"tr_2_pm_2_3.fasta" "400"
"tr_2_pm_2_4.fasta" "448"
"tr_2_pm_2_5.fasta" "423"
"tr_2_pm_2_6.fasta" "433"
"tr_2_pm_2_7.fasta" "409"
"tr_2_pm_2_8.fasta" "423"
"tr_2_pm_2_9.fasta" "397"
"tr_2_pm_2_10.fasta" "414"
"tr_2_pm_2_11.fasta" "407"
"tr_2_pm_2_12.fasta" "400"
"tr_2_pm_2_13.fasta" "424"
"tr_2_pm_2_14.fasta" "421"
"tr_2_pm_2_15.fasta" "435"
"tr_2_pm_2_16.fasta" "414"
"tr_2_pm_2_17.fasta" "437"
"tr_2_pm_2_18.fasta" "408"
"tr_2_pm_2_19.fasta" "428"
"tr_2_pm_2_20.fasta" "450"
"tr_2_pm_2_21.fasta" "408"
"tr_2_pm_2_22.fasta" "434"
"tr_2_pm_2_23.fasta" "412"
"tr_2_pm_2_24.fasta" "426"
"tr_2_pm_2_25.fasta" "419"
"tr_2_pm_2_26.fasta" "429"
"tr_2_pm_2_27.fasta" "411"
"tr_2_pm_2_28.fasta" "424"
"tr_2_pm_2_29.fasta" "405"
"tr_2_pm_2_30.fasta" "421"
"tr_2_pm_3_1.fasta" "687"
"tr_2_pm_3_2.fasta" "687"
"tr_2_pm_3_3.fasta" "693"
"tr_2_pm_3_4.fasta" "701"
"tr_2_pm_3_5.fasta" "640"
"tr_2_pm_3_6.fasta" "656"
"tr_2_pm_3_7.fasta" "684"
"tr_2_pm_3_8.fasta" "652"
"tr_2_pm_3_9.fasta" "691"
"tr_2_pm_3_10.fasta" "682"
"tr_2_pm_3_11.fasta" "688"
"tr_2_pm_3_12.fasta" "675"
"tr_2_pm_3_13.fasta" "682"
"tr_2_pm_3_14.fasta" "712"
"tr_2_pm_3_15.fasta" "700"
"tr_2_pm_3_16.fasta" "706"
"tr_2_pm_3_17.fasta" "679"
"tr_2_pm_3_18.fasta" "666"
"tr_2_pm_3_19.fasta" "698"
"tr_2_pm_3_20.fasta" "700"
"tr_2_pm_3_21.fasta" "707"
"tr_2_pm_3_22.fasta" "694"
"tr_2_pm_3_23.fasta" "703"
"tr_2_pm_3_24.fasta" "659"
"tr_2_pm_3_25.fasta" "685"
"tr_2_pm_3_26.fasta" "688"
"tr_2_pm_3_27.fasta" "681"
"tr_2_pm_3_28.fasta" "681"
"tr_2_pm_3_29.fasta" "666"
"tr_2_pm_3_30.fasta" "669"
"tr_3_pm_1_1.fasta" "444"
"tr_3_pm_1_2.fasta" "430"
"tr_3_pm_1_3.fasta" "426"
"tr_3_pm_1_4.fasta" "429"
"tr_3_pm_1_5.fasta" "414"
